particle_id,x,y,vx,vy,time,energy,faug
0,-3719928253616.8154,495751140768.20654,2400.935213719165,-110.3252083305658,1677213516620.3262,2271.149012770038,1.2746705585224043
0,-277807896940591.8,-29226776359127.0,-589.0644834624122,-59.16531383274065,2063423411482.4,-23675.608186881906,1.28368331462927
0,-536397556758903.4,-55118944994193.414,-508.6098291099784,-50.809651049384335,2538565384109.942,-23781.521559901536,1.293646132612205
0,-815544684563510.8,-82960706934633.53,-450.5068686453879,-44.87124308799644,3123117714735.799,-23781.22378517083,1.3047384381992086
0,-1120725962189804.4,-113321594664192.31,-400.8360474033529,-39.83446184458264,3842274192010.384,-23781.01103027549,1.3171910502319797
0,-1454205783417611.0,-146428792653488.94,-354.98431643137866,-35.208263464669976,4727029947328.75,-23780.860581550005,1.3313067744290896
0,-1815565078723673.2,-182234388601261.4,-310.6192720528942,-30.748359986091057,5815517322893.456,-23780.75208415232,1.3474920721623636
0,-2201293846869466.5,-220378818667804.62,-267.7319051457043,-26.449252355352066,7154649348474.241,-23780.697706253115,1.366307517470403
0,-2609893425416702.5,-260703888227342.4,-230.4090700703252,-22.716895395511017,8802141659541.008,-23780.69770625312,1.388552465651162
0,-3041492915325913.0,-303213383552182.3,-197.16477431775007,-19.39939873912483,10829000000000.014,-23780.69770625312,1.4154141448905435
