particle_id,x,y,vx,vy,time,energy,faug
0,-84620772063806.34,34761942033.5199,856.8445825285141,0.0112788204276125,3123117714735.799,-4289.553416815354,1.3185793423948031
0,-429626930091539.1,-812212077914.0978,-509.5252546815441,-0.8917098413054207,3842274192010.384,-41241.61060257815,1.3328900312096863
1,-124810302796192.77,33134597274.044,794.7107483296055,0.019704320315692,3842274192010.384,-3464.209928946919,1.3328900312096863
0,-830357365345755.9,-1507979066138.9646,-409.0639358576018,-0.7058645737904348,4727029947328.75,-41735.9091737046,1.3493204506856926
1,-500336082120700.25,-687735210943.0693,-489.1689897908251,-0.6148407572295366,4727029947328.75,-41680.43707718194,1.3493204506856926
0,-1234241236299953.0,-2201664527724.965,-337.729045037595,-0.5775419207159913,5815517322893.456,-41736.434918489256,1.3684515095168384
1,-966649926174348.8,-1267728593221.624,-381.6504154077504,-0.4707365191118767,5815517322893.456,-42370.83983615055,1.3684515095168384
0,-1642543903673641.8,-2896973669013.882,-275.04864178895104,-0.4663915935793992,7154649348474.241,-41736.28864880862,1.3911144257396462
1,-1423733201409880.5,-1827853256831.309,-305.90675037697906,-0.3725142650728329,7154649348474.241,-42379.74052044607,1.3911144257396462
0,-2044460199691998.0,-3575279278484.5825,-215.20894066480807,-0.3613139849886275,8802141659541.008,-41736.278830419615,1.4185494697652028
1,-1869794185802030.0,-2367581182175.5547,-238.6411415661597,-0.2867751741642514,8802141659541.008,-42379.73817429245,1.4185494697652028
0,-2423005554193478.5,-4207036894885.017,-161.3638109755867,-0.2674874190650108,10829000000000.014,-41736.27883041962,1.4527075644498788
1,-2286982210508736.5,-2864937122367.6265,-176.8182927062186,-0.2089135480425002,10829000000000.014,-42379.822332071824,1.4527075644498788
