particle,time,energy,r,potential,impact parameter,v0,v
0,1923.3930585016874,214767.436199405,1975384821428571.8,-67199.99999999999,2025890532911411.5,655.3891,750.9559723437919
0,2208.3507056806716,214767.43619858666,1972381133225378.2,-67302.25930997706,2025890532911411.5,655.3891,751.0921321762913
0,2535.525860262462,214767.4361956321,1968951956902628.5,-67419.19474189052,2025890532911411.5,655.3891,751.2478032414107
0,2911.1731988593488,214767.43618959008,1965040618213016.2,-67552.82087043805,2025890532911411.5,655.3891,751.4256544196879
0,3342.4740510750166,214767.43617917062,1960584149514768.5,-67705.39525857953,2025890532911411.5,655.3891,751.6286735320176
0,3837.6736865011567,214767.43616263423,1955513066849052.8,-67879.43437376175,2025890532911411.5,655.3891,751.8601871842876
0,4406.238941279583,214767.43613764644,1949751360434124.2,-68077.72419439537,2025890532911411.5,655.3891,752.123873217759
0,5059.0391976107485,214767.43610108772,1943216819200864.5,-68303.32160620677,2025890532911411.5,655.3891,752.4237605329785
0,5808.554176031473,214767.43604880903,1935821861536936.0,-68559.54076443038,2025890532911411.5,655.3891,752.7642085184967
0,6669.1125128713575,214767.43597531132,1927475116916529.0,-68849.91577682516,2025890532911411.5,655.3891,753.149854613458
0,7657.165683823434,214767.43587333942,1918084105092503.0,-69178.12692598948,2025890532911411.5,655.3891,753.585513129504
0,8791.602510283541,214767.43573336536,1907559502924658.5,-69547.87158973166,2025890532911411.5,655.3891,754.0760005769936
0,10094.110260943102,214767.4355429391,1895821690143687.5,-69962.65216484456,2025890532911411.5,655.3891,754.6258512770202
0,11589.58925189068,214767.4352858936,1882810546580943.8,-70425.44043846647,2025890532911411.5,655.3891,755.2388704567053
0,13306.62887121965,214767.4349413984,1868499863374823.8,-70938.15936861296,2025890532911411.5,655.3891,755.9174482838869
0,15278.05412840577,214767.43448287895,1852918263886519.5,-71500.89718146034,2025890532911411.5,655.3891,756.6615249427439
0,17541.553176954578,214767.43387688708,1836179241322786.0,-72110.73319737602,2025890532911411.5,655.3891,757.4670515266827
0,20140.397806800487,214767.43308210603,1818523827956018.5,-72760.00937254119,2025890532911411.5,655.3891,758.3237335790661
0,23124.270680265785,214767.43204887694,1800380476952546.5,-73433.83038768097,2025890532911411.5,655.3891,759.2117786712189
0,26550.215126021485,214767.43071997067,1782447777585653.8,-74106.53452229327,2025890532911411.5,655.3891,760.097316456602
0,30483.725648462794,214767.42903389025,1765806132256964.2,-74736.89062027354,2025890532911411.5,655.3891,760.9261720484633
1,6669.1125128713575,214767.436199405,1975384821428571.8,-67199.99999999999,2141732702065740.8,655.3891,750.9559723437919
1,7657.165683823434,214767.436191468,1967918521435383.5,-67454.47505884527,2141732702065740.8,655.3891,751.2947640577742
1,8791.602510283541,214767.4361661057,1959615243976535.0,-67738.61335969195,2141732702065740.8,655.3891,751.6728670449635
1,10094.110260943102,214767.43611488165,1950441669048485.2,-68053.9365429931,2141732702065740.8,655.3891,752.092245217134
1,11589.58925189068,214767.4360278801,1940390818998385.0,-68401.12147789911,2141732702065740.8,655.3891,752.5537289865478
1,13306.62887121965,214767.43589235202,1929497010872177.5,-68779.46144845155,2141732702065740.8,655.3891,753.0563024645681
1,15278.05412840577,214767.43569220946,1917856960925812.0,-69186.08624956582,2141732702065740.8,655.3891,753.5960747532796
1,17541.553176954578,214767.43540763902,1905659283829456.5,-69614.84760549579,2141732702065740.8,655.3891,754.1648135694675
1,20140.397806800487,214767.43501504668,1893225292863868.5,-70054.74980468217,2141732702065740.8,655.3891,754.7478848194659
1,23124.270680265785,214767.4344877203,1881064706091837.8,-70487.78292643493,2141732702065740.8,655.3891,755.3214116045635
1,26550.215126021485,214767.4337978692,1869950395628616.0,-70886.01445339795,2141732702065740.8,655.3891,755.8484613350313
