particle,time,energy,r,potential,impact parameter,v0,v
0,420.79255211609467,214107.24658049998,1975384821428571.8,-67199.99999999999,1530905574975550.0,654.381,750.0763248903407
0,483.13449261100845,214107.24658043537,1974297741371670.2,-67236.99121764234,1530905574975550.0,654.381,750.1256398738517
0,554.7126173613913,214107.24658020143,1973050066526922.0,-67279.47227547913,1530905574975550.0,654.381,750.1822696594215
0,636.895300513494,214107.24657972224,1971618152043483.2,-67328.25947701265,1530905574975550.0,654.381,750.247300637243
0,731.2536457989145,214107.24657889383,1969974897794523.0,-67384.29098326553,1530905574975550.0,654.381,750.3219809683832
0,839.5915216568234,214107.24657757583,1968089252060652.2,-67448.64514631461,1530905574975550.0,654.381,750.4077447946422
0,963.9800461683574,214107.24657557832,1965925646845737.0,-67522.56164137428,1530905574975550.0,654.381,750.506240103242
0,1106.797181058933,214107.24657264538,1963443356444519.0,-67607.46583465305,1530905574975550.0,654.381,750.6193608045271
0,1270.7731916953562,214107.24656843336,1960595770251830.0,-67704.99689419528,1530905574975550.0,654.381,750.7492836661633
0,1459.0428421461718,214107.2465624818,1957329570304784.2,-67817.04023184047,1530905574975550.0,654.381,750.8985108446044
0,1675.2053231292336,214107.24655417496,1953583803789291.5,-67945.76495741672,1530905574975550.0,654.381,751.0699188645377
0,1923.3930585016874,214107.2465426895,1949288840880412.0,-68093.66713213599,1530905574975550.0,654.381,751.2668150195715
0,2208.3507056806716,214107.24652692713,1944365209059918.8,-68263.61972682385,1530905574975550.0,654.381,751.4930023010872
0,2535.525860262462,214107.24650542258,1938722296815785.0,-68458.93032040422,1530905574975550.0,654.381,751.7528541027654
0,2911.1731988593488,214107.24647622334,1932256922898780.2,-68683.40771015738,1530905574975550.0,654.381,752.0514000869631
0,3342.4740510750166,214107.24643672828,1924851772866347.8,-68941.43873725271,1530905574975550.0,654.381,752.3944247188186
0,3837.6736865011567,214107.246383472,1916373713641091.0,-69238.07673853995,1530905574975550.0,654.381,752.7885800435763
0,4406.238941279583,214107.2463118371,1906672010989058.2,-69579.14308065025,1530905574975550.0,654.381,753.2415142469079
0,5059.0391976107485,214107.24621567188,1895576496811193.8,-69971.34314663224,1530905574975550.0,654.381,753.7620173002937
0,5808.554176031473,214107.24608677457,1882895766950630.0,-70422.39780664122,1530905574975550.0,654.381,754.360184385968
0,6669.1125128713575,214107.2459142051,1868415542022792.8,-70941.19059692921,1530905574975550.0,654.381,755.047596527708
0,7657.165683823434,214107.24568336015,1851897403174328.8,-71537.9291748295,1530905574975550.0,654.381,755.8375154200666
0,8791.602510283541,214107.2453747295,1833078236754854.0,-72224.31643828539,1530905574975550.0,654.381,756.7450849698529
0,10094.110260943102,214107.2449622207,1811670910600546.0,-73013.72080079289,1530905574975550.0,654.381,757.7875239973453
0,11589.58925189068,214107.2444109033,1787366998432106.2,-73921.3243596521,1530905574975550.0,654.381,758.984280167324
0,13306.62887121965,214107.24367396825,1759842830055407.5,-74964.20824467075,1530905574975550.0,654.381,760.3570896869957
0,15278.05412840577,214107.2426886367,1728770875257668.2,-76161.29933646884,1530905574975550.0,654.381,761.9298419475451
0,17541.553176954578,214107.24137067897,1693839634776839.8,-77533.03919012597,1530905574975550.0,654.381,763.7280675224722
0,20140.397806800487,214107.2396071354,1654787082895653.2,-79100.52157726235,1530905574975550.0,654.381,765.7777238656107
0,23124.270680265785,214107.23724682292,1611455713219757.2,-80883.63887843165,1530905574975550.0,654.381,768.102696421845
0,26550.215126021485,214107.23408835992,1563882028168883.5,-82897.40981717064,1530905574975550.0,654.381,770.7199801556083
0,30483.725648462794,214107.2298660932,1512440719083963.8,-85145.02302647497,1530905574975550.0,654.381,773.6307296023965
1,6669.1125128713575,214107.24658049992,1975384821428571.8,-67199.99999999999,1071052405674327.8,654.381,750.0763248903406
1,7657.165683823434,214107.2465586416,1954793718432483.0,-67904.1590431737,1071052405674327.8,654.381,751.0145213001082
1,8791.602510283541,214107.24648727902,1931189709695974.5,-68720.5340008129,1071052405674327.8,654.381,752.1007651745767
1,10094.110260943102,214107.24633937023,1904141660231133.2,-69668.38447802307,1071052405674327.8,654.381,753.3599814396745
1,11589.58925189068,214107.24608026323,1873161351824204.2,-70770.71871812112,1071052405674327.8,654.381,754.8217866468672
1,13306.62887121965,214107.24566143646,1837698428817701.5,-72055.15610930789,1071052405674327.8,654.381,756.5215155839844
1,15278.05412840577,214107.24501488812,1797136536489988.0,-73555.01835669704,1071052405674327.8,654.381,758.5015008180078
1,17541.553176954578,214107.24404507733,1750792099035457.0,-75310.70657979153,1071052405674327.8,654.381,760.8126584447302
1,20140.397806800487,214107.24261723668,1697918355657599.2,-77371.41930187064,1071052405674327.8,654.381,763.5164201497009
1,23124.270680265785,214107.24054021353,1637719449733108.8,-79797.23126366526,1071052405674327.8,654.381,766.6869919385339
