particle,time,energy,r,potential,impact parameter,v0,v
0,7657.165683823434,6047.800199999998,1975384821428571.8,-67199.99999999999,6247104113944441.0,109.98,382.74743683008506
0,8791.602510283541,6047.80019381005,1969682789697046.0,-67394.25623398914,6247104113944441.0,109.98,383.25463187755264
0,10094.110260943102,6047.800171433788,1963179726184570.8,-67616.48955192376,6247104113944441.0,109.98,383.83405196349514
0,11589.58925189068,6047.800125634036,1955771932227224.5,-67870.53950471085,6247104113944441.0,109.98,384.49535661785274
0,13306.62887121965,6047.800046561417,1947345666882492.2,-68160.69036548943,6247104113944441.0,109.98,385.249245066232
0,15278.05412840577,6047.7999209097325,1937777645965515.0,-68491.68272903479,6247104113944441.0,109.98,386.1074530488748
0,17541.553176954578,6047.799730786428,1926936403499185.0,-68868.70128645793,6247104113944441.0,109.98,387.0826811347786
0,20140.397806800487,6047.799452243446,1914684977520808.5,-69297.32241562435,6247104113944441.0,109.98,388.18841267577216
0,23124.270680265785,6047.799053378243,1900885600749575.2,-69783.39602875746,6247104113944441.0,109.98,389.4385576240126
0,26550.215126021485,6047.798491904148,1885407397075790.0,-70332.82189574659,6247104113944441.0,109.98,390.8468252081645
0,30483.725648462794,6047.797712087733,1868138553142744.0,-70951.15876083146,6247104113944441.0,109.98,392.4256782447326
1,10094.110260943102,6047.800199999998,1975384821428571.8,-67199.99999999999,6239834042580811.0,109.98,382.74743683008506
1,11589.58925189068,6047.800188343477,1967833882419585.8,-67457.36541153744,6239834042580811.0,109.98,383.41926294822724
1,13306.62887121965,6047.800149245915,1959240278980273.0,-67751.47320364803,6239834042580811.0,109.98,384.1855628544465
1,15278.05412840577,6047.8000692263595,1949476167230805.0,-68087.2102015766,6239834042580811.0,109.98,385.0584637968706
1,17541.553176954578,6047.799931098503,1938404525783026.5,-68469.94688512576,6239834042580811.0,109.98,386.05115416541435
1,20140.397806800487,6047.79971167144,1925881589886562.5,-68905.49722827024,6239834042580811.0,109.98,387.17772905977347
1,23124.270680265785,6047.799379821343,1911761221315463.5,-69400.01686928954,6239834042580811.0,109.98,388.4528703693947
1,26550.215126021485,6047.798894013526,1895902197505479.8,-69959.80113141531,6239834042580811.0,109.98,389.89126695895317
