particle,time,energy,r,potential,impact parameter,v0,v
0,2911.1731988593488,350317.47857617994,1975384821428571.8,-67199.99999999999,2038199386599003.2,837.0394,913.8024716274081
0,3342.4740510750166,350317.4785745141,1971353183778990.5,-67337.29119835015,2038199386599003.2,837.0394,913.9527009346427
0,3837.6736865011567,350317.4785685274,1966803276841128.5,-67492.56890704317,2038199386599003.2,837.0394,914.1225820157497
0,4406.238941279583,350317.47855635715,1961684246289741.5,-67667.69948828492,2038199386599003.2,837.0394,914.3141451871365
0,5059.0391976107485,350317.4785355191,1955946342222940.5,-67864.54682463197,2038199386599003.2,837.0394,914.5294149016215
0,5808.554176031473,350317.47850272775,1949544020131747.2,-68084.87082326873,2038199386599003.2,837.0394,914.7702983000667
0,6669.1125128713575,350317.47845367657,1942440523478903.0,-68330.17280986412,2038199386599003.2,837.0394,915.0384158750284
0,7657.165683823434,350317.47838277894,1934614529306830.5,-68601.46525644636,2038199386599003.2,837.0394,915.3348498109589
0,8791.602510283541,350317.47828286863,1926069650836025.5,-68898.93441372937,2038199386599003.2,837.0394,915.6597760048194
0,10094.110260943102,350317.4781448822,1916847874018500.0,-69221.45249545093,2038199386599003.2,837.0394,916.0119329357376
0,11589.58925189068,350317.47795755573,1907048374190892.5,-69565.88056516474,2038199386599003.2,837.0394,916.3878638684828
0,13306.62887121965,350317.4777072249,1896853624577814.0,-69926.08426499864,2038199386599003.2,837.0394,916.780848373507
0,15278.05412840577,350317.47737786744,1886565262301077.0,-70291.5636745212,2038199386599003.2,837.0394,917.1794165291637
0,17541.553176954578,350317.47695165715,1876652766691110.2,-70645.58126527457,2038199386599003.2,837.0394,917.5653199821054
0,20140.397806800487,350317.47641046665,1867818481167766.0,-70962.67103447275,2038199386599003.2,837.0394,917.9108316660605
0,23124.270680265785,350317.4757390281,1861082546926418.8,-71205.45414962251,2038199386599003.2,837.0394,918.1752881543377
0,26550.215126021485,350317.4749308225,1857890289659383.0,-71320.82017426167,2038199386599003.2,837.0394,918.3009257374014
0,30483.725648462794,350317.47399820096,1860241478883465.2,-71235.83207267898,2038199386599003.2,837.0394,918.2083707643706
1,6669.1125128713575,350317.47857617994,1975384821428571.8,-67199.99999999999,1738538131632482.8,837.0394,913.8024716274081
1,7657.165683823434,350317.47855838423,1958644102238797.8,-67771.9244201282,1738538131632482.8,837.0394,914.4281305586704
1,8791.602510283541,350317.4785007984,1939720380386268.2,-68424.34407454368,1738538131632482.8,837.0394,915.1413252338047
1,10094.110260943102,350317.4783827183,1918397556146012.2,-69167.14634618534,1738538131632482.8,837.0394,915.9526458599305
1,11589.58925189068,350317.4781785465,1894468671862684.0,-70010.62914487347,1738538131632482.8,837.0394,916.8730635408807
1,13306.62887121965,350317.47785371594,1867754267253476.0,-70964.97986734206,1738538131632482.8,837.0394,917.9133485477352
1,15278.05412840577,350317.47736191854,1838131040669426.2,-72039.33898834858,1738538131632482.8,837.0394,919.0830390669465
1,17541.553176954578,350317.4766417133,1805575920838913.0,-73240.18515281807,1738538131632482.8,837.0394,920.3886807154154
1,20140.397806800487,350317.4756126041,1770233057196145.2,-74568.6243451299,1738538131632482.8,837.0394,921.8308955092946
1,23124.270680265785,350317.47417100606,1732514534955478.0,-76015.93883130046,1738538131632482.8,837.0394,923.3996025581845
1,26550.215126021485,350317.47218721284,1693249685498955.0,-77556.45411643757,1738538131632482.8,837.0394,925.0664044312175
1,30483.725648462794,350317.4695058414,1653901603123953.0,-79136.49768165464,1738538131632482.8,837.0394,926.7728601847338
2,7657.165683823434,350317.47857617994,1975384821428571.8,-67199.99999999999,2032406848368413.8,837.0394,913.8024716274081
2,8791.602510283541,350317.4785632321,1964665839551157.2,-67565.63880901458,2032406848368413.8,837.0394,914.2025129830334
2,10094.110260943102,350317.4785214844,1952908370278798.0,-67969.00312010982,2032406848368413.8,837.0394,914.6436263830785
2,11589.58925189068,350317.4784376803,1940147540093921.0,-68409.5472949961,2032406848368413.8,837.0394,915.1251561755653
2,13306.62887121965,350317.47829648165,1926490392137977.5,-68884.25690203696,2032406848368413.8,837.0394,915.6437464412877
2,15278.05412840577,350317.47807883046,1912150469111833.0,-69386.3348808275,2032406848368413.8,837.0394,916.1919154409277
2,17541.553176954578,350317.47776186565,1897495831791707.5,-69903.33722200664,2032406848368413.8,837.0394,916.7560362319654
2,20140.397806800487,350317.4773195643,1883114821395306.8,-70414.58291762274,2032406848368413.8,837.0394,917.3135344441257
2,23124.270680265785,350317.4767247882,1869904436183548.5,-70887.66538211242,2032406848368413.8,837.0394,917.8291149303345
