particle_id,x,y,vx,vy,time,energy
0,-11260754640979.363,-15657699111.43084,-1174.7732646509537,-1.2870723764611145,900716987727.0834,-28235.1007543467
0,-161703534910905.9,-168266593063.9062,-628.9364956838691,-0.6303397224611648,1108123981340.8296,-37699.81199236322
0,-311582633450152.8,-318157144023.12476,-554.124732805233,-0.5532975328161966,1363290328431.9043,-37743.8338629294
0,-476437656557884.06,-482588916050.90533,-499.97946185268773,-0.4982471540824059,1677213516620.3262,-37743.53191319296
0,-660180326645064.9,-665558265410.2804,-454.028637540434,-0.451818481017571,2063423411482.4,-37743.34956709138
0,-865476156768158.5,-869731227376.4852,-412.0088437666347,-0.4095273041802815,2538565384109.942,-37743.24291330603
0,-1094110757831043.2,-1096865754231.3549,-371.814216225584,-0.3691851467116682,3123117714735.799,-37743.17735349038
0,-1346748223955643.8,-1347585331691.9937,-332.15094472763025,-0.3294609141223261,3842274192010.384,-37743.12894631181
0,-1622338410492446.8,-1620794320935.5352,-292.0657803125786,-0.2893833462663194,4727029947328.75,-37743.08009792242
0,-1917124135146325.5,-1912693323545.749,-250.72595142890736,-0.248111744332025,5815517322893.456,-37743.0265819817
0,-2223878102236870.0,-2216025676407.103,-209.3578721355812,-0.2068645667593592,7154649348474.241,-37742.97196674015
0,-2535616161745709.0,-2523785998361.384,-170.76737006200966,-0.168432219322942,8802141659541.008,-37742.971966740166
0,-2842671990544009.0,-2826305551704.32,-133.63322890218325,-0.1314916029412647,10829000000000.014,-37742.97196674015
