particle_id,x,y,vx,vy,time,energy
0,-85719429910213.7,187631155571.0757,852.4061639194529,0.0672236973467951,3123117714735.799,-5144.454959920258
0,-428113190845598.6,-4350095419885.5654,-508.16945914470455,-4.776506190213291,3842274192010.384,-42183.6269439919
1,-126245711588996.8,190354184598.7867,790.794404894131,0.1164877671835073,3842274192010.384,-4369.926154165121
0,-827424092868222.6,-8073198484204.312,-407.28737717971734,-3.773653115047724,4727029947328.75,-42689.13653769676
1,-498359233894109.06,-3918512634904.3423,-487.7591494462387,-3.5036037580029697,4727029947328.75,-42668.16682342935
0,-1229223814259930.0,-11778334691617.783,-335.6879780376229,-3.081737420613776,5815517322893.456,-42689.851315511034
1,-962797225832323.2,-7219055213284.843,-379.7092893240249,-2.675438971287079,5815517322893.456,-43374.18636905553
0,-1634607163220813.2,-15483936372120.977,-272.73455120166045,-2.4821279375320193,7154649348474.241,-42689.7053884225
1,-1417048749816882.2,-10398473181146.344,-303.63551354073735,-2.111507200860386,7154649348474.241,-43384.27665161202
0,-2032441766482977.2,-19086946773864.78,-212.5243662394405,-1.914318530625903,8802141659541.008,-42689.610506326
1,-1859079060219475.2,-13452199445627.377,-236.02322346287048,-1.6189706156330377,8802141659541.008,-43384.27810040571
0,-2404813315794586.0,-22420057460003.297,-157.96686500840048,-1.4038203454409632,10829000000000.014,-42689.61050632601
1,-2270318342140501.0,-16249590105071.518,-173.5056764250361,-1.169069098529686,10829000000000.014,-43383.75698228459
