particle_id,x,y,vx,vy,time,energy
0,-34035313517147.855,1997309073094.437,1036.543844504963,-5.549394961326588,2063423411482.4,-7014.900132272858
0,-307030900168213.2,-58907112949196.5,-540.7240695514167,-97.61581259424864,2538565384109.942,-40799.19620917941
0,-594257482634756.8,-110501144883252.23,-452.581981942084,-80.99082558757162,3123117714735.799,-41046.23154980298
0,-895431284919954.5,-164250244976929.4,-389.28798237151256,-69.30651685761958,3842274192010.384,-41045.94458787504
1,-125783013985711.34,2345369012013.0195,792.0194262548569,1.4228150411609737,3842274192010.384,-4069.773222916702
0,-1214411480935608.2,-220916453213995.6,-334.5372814430363,-59.30721817683144,4727029947328.75,-41045.68162737645
1,-496559077013005.25,-48293078398765.336,-486.4136981488333,-43.205072807280864,4727029947328.75,-42314.1605759704
0,-1549488665855385.0,-280196127599066.0,-283.21381260647934,-49.999714263274925,5815517322893.456,-41045.4704905164
1,-959930097938671.6,-89013248639779.28,-379.00047842522,-33.02273791108146,5815517322893.456,-43015.59217187748
0,-1893722514463917.2,-340829026162691.1,-232.58796323735413,-40.8672893670004,7154649348474.241,-41045.38954857041
1,-1413535503468988.2,-128274761647458.8,-303.35213285151207,-26.08769193473115,7154649348474.241,-43025.28499025357
0,-2234533089244082.5,-400541341823882.9,-183.74999341294537,-32.095316126225484,8802141659541.008,-41045.349791767905
1,-1855432773803263.2,-166028836579558.78,-236.13077014824032,-20.031969786050936,8802141659541.008,-43025.28509186037
0,-2559766683371655.0,-457143738043044.5,-139.18725453544795,-24.12218238460741,10829000000000.014,-41045.349791767905
1,-2267375893752479.0,-200688357716810.97,-174.10029759966994,-14.511647191132145,10829000000000.014,-43025.26509730768
