particle_id,x,y,vx,vy,time,energy
0,-55814782388735.14,28971326201.693935,929.9170112063096,-0.0126381774680097,2538565384109.942,-5894.864593235019
0,-366656524078173.6,-758256185323.1322,-528.8617451503193,-1.0221477946867668,3123117714735.799,-41484.78889205007
0,-708698038823568.2,-1415239904532.0264,-434.0703009473463,-0.8298006303250381,3842274192010.384,-41839.303418579264
0,-1060781186554985.0,-2085951401351.8289,-366.3475337094689,-0.6956643167594551,4727029947328.75,-41839.06179291289
0,-1425855806569384.2,-2777155243062.1133,-307.3443173872651,-0.5802181024888483,5815517322893.456,-41838.79854164157
0,-1798591302096946.8,-3478686211048.7935,-251.49431100818936,-0.4718327387244684,7154649348474.241,-41838.67575133244
0,-2165970466868308.0,-4165390267231.835,-197.0510346735927,-0.3668373794492095,8802141659541.008,-41838.62488889914
1,-494566399737327.0,34448532163.295616,596.4106329442624,0.0167114520968376,8802141659541.008,-2076.5826724450453
0,-2513193831272953.5,-4808759721530.336,-147.99881930328644,-0.2727426832834085,10829000000000.014,-41838.62488889914
1,-866629104264336.9,-414547017053.0182,-411.54410895090695,-0.1636155403553853,10829000000000.014,-44416.741030527206
