particle_id,x,y,vx,vy,time,energy
0,-33899438993809.0,100613600.2521118,1038.7039947304556,-0.0002849875210515,2063423411482.4,-6905.209816939314
0,-312958939390799.4,-2999410128.575362,-549.4074923832773,-0.0049624770871557,2538565384109.942,-40754.46164496266
0,-604778249825671.9,-5622447513.201325,-459.7918781993907,-0.0041177222750123,3123117714735.799,-40999.76975915395
0,-910736864928611.4,-8355219745.151687,-395.45852720789446,-0.0035238455662441,3842274192010.384,-40999.48261153343
1,-125588041614428.77,142183278.00688204,792.5836127787587,8.589394295793618e-05,3842274192010.384,-3955.0623480214854
0,-1234764273129796.0,-11236452297.800049,-339.82268170291076,-0.0030155994972261,4727029947328.75,-40999.219809648755
1,-499278294236688.4,-2938046106.3330216,-488.41843449427495,-0.0026268245718356,4727029947328.75,-42211.799030121576
0,-1575129470952311.2,-14250753070.498384,-287.6793274841199,-0.0025425212986585,5815517322893.456,-40999.00885966146
1,-964590607525517.2,-5414184344.128948,-380.6125559413907,-0.0020083412985788,5815517322893.456,-42910.58461373289
2,-255253835321777.7,172929591.9291013,689.6242833800244,0.0001078245962165,5815517322893.456,-2735.6070597982325
0,-1924788604776481.5,-17334133493.644753,-236.2531513839831,-0.002078356461086,7154649348474.241,-40998.92810846754
1,-1420158507169326.8,-7802256795.664131,-304.6905231787062,-0.0015870019476176,7154649348474.241,-42920.11192730762
2,-667101319443796.5,-2779910176.056288,-448.2044788294565,-0.0016477093838352,7154649348474.241,-43199.45428698344
0,-2270984057297341.0,-20371219487.538834,-186.66554408062208,-0.0016326657714266,8802141659541.008,-40998.903829817165
1,-1864059932508822.5,-10099381724.853292,-237.23793425315108,-0.0012191008613857,8802141659541.008,-42920.1115759634
2,-1286556991774505.8,-5011547686.401146,-321.27025516250796,-0.0011373628418242,8802141659541.008,-44500.80632113815
0,-2601413948828289.0,-23251124064.831932,-141.43144079320945,-0.0012276374340835,10829000000000.014,-40998.90382981717
1,-2278055395570340.5,-12209480122.699743,-175.04008646619172,-0.0008839420990631,10829000000000.014,-42920.05552365781
2,-1842842558355386.5,-6951566768.638529,-233.19911323460553,-0.0008000250003547,10829000000000.014,-44644.083431969586
