particle_id,x,y,vx,vy,time,energy
0,-55942875430275.086,660444907870.7383,929.0797952189944,-0.2806344649958018,2538565384109.942,-6013.120650998026
0,-366067279216601.7,-17256111992810.912,-528.180867026713,-23.26468973478639,3123117714735.799,-41611.58601426217
0,-707637386569762.4,-32207742514061.3,-433.43694580940354,-18.882720556415705,3842274192010.384,-41967.33872766823
0,-1059177542255993.6,-47468788441536.97,-365.7501631637803,-15.827196034700464,4727029947328.75,-41967.09764571214
0,-1423617400939698.5,-63192590639992.65,-306.7731371294934,-13.197283722949486,5815517322893.456,-41966.83426107368
0,-1795601814847795.0,-79146424700023.48,-250.9419079233358,-10.72801783747702,7154649348474.241,-41966.71120194136
1,-357701959314223.2,797134356162.0087,641.6337278226191,0.4460962094386574,7154649348474.241,-2633.3461100276327
0,-2162071011234510.5,-94755187601376.05,-196.4869208277684,-8.334716311247034,8802141659541.008,-41966.699892892226
1,-762351980491089.8,-11120861039228.332,-428.63163256831217,-5.372472494257629,8802141659541.008,-44096.771135453775
0,-2508105361550468.5,-109363971642378.94,-147.38807269495297,-6.188351861023736,10829000000000.014,-41966.699892892226
1,-1468654528885649.5,-19714347863274.605,-288.18408766690703,-3.4115058903940296,10829000000000.014,-45852.62969777368
2,-681189520831596.8,1033884395624.894,550.1115571993503,0.4273029035221934,10829000000000.014,-1812.798543913552
