particle_id,x,y,vx,vy,time,energy
0,-54035742600287.19,115731435715.18845,941.5333377519762,-0.0691567993752561,2538565384109.942,-4228.027844146651
0,-369004176756142.9,-3077376580561.217,-531.4785657832456,-4.147193234837823,3123117714735.799,-39615.46786244589
0,-713229424906236.0,-5747310887396.738,-437.3971556196496,-3.3770751521982945,3842274192010.384,-39953.97036390459
0,-1068468742494698.8,-8480801304143.527,-370.1339916521077,-2.839394970119538,4727029947328.75,-39953.72183300572
0,-1437921738810080.2,-11306982390524.78,-311.5918426884782,-2.37699682821165,5815517322893.456,-39953.46060653857
0,-1816692570224937.2,-14188158732640.89,-256.255388476183,-1.9434020481604368,7154649348474.241,-39953.34180938295
0,-2192581764567560.8,-17029081668660.406,-202.75040986785052,-1.526704853678538,8802141659541.008,-39953.07571192453
0,-2552723353675639.0,-19729568427419.527,-155.0342676089869,-1.1570118325559922,10829000000000.014,-39953.07571192454
