particle,time,energy,r,potential,impact parameter,v0
0,212847.25044755166,19208.00000000003,1975384821428571.8,-67199.99999999999,3109615495679841.0,196.0
0,218810.44247149065,19200.336151996264,1923644567731623.2,-67764.88644931698,3109615495679841.0,196.0
0,224940.70106095684,19176.203171346642,1871969266062779.8,-68392.73670350999,3109615495679841.0,196.0
0,231242.70680265882,19133.809096000477,1820582875738262.2,-69087.22372362192,3109615495679841.0,196.0
0,237721.2714160141,19071.271215573754,1769752119655025.5,-69851.16747337049,3109615495679841.0,196.0
0,244381.34142700973,18986.646628933595,1719793287132702.5,-70686.00202227545,3109615495679841.0,196.0
0,251228.00194497657,18877.97991814249,1671079531095083.2,-71591.06432518899,3109615495679841.0,196.0
0,258266.4805451856,18743.373253958373,1624048300904104.8,-72562.67858297096,3109615495679841.0,196.0
0,265502.15126021486,18581.084732324118,1579208282537080.5,-73593.03013246595,3109615495679841.0,196.0
0,272940.5386831414,18389.66038958523,1537144852060479.8,-74668.86480481534,3109615495679841.0,196.0
0,280587.3221856877,18168.103425216832,1498522600034474.5,-75770.12244613584,3109615495679841.0,196.0
0,288448.3402545511,17916.0797471697,1464083016823899.0,-76868.72097592716,3109615495679841.0,196.0
0,296529.59494920814,17634.151176409898,1434635085652867.5,-77927.8395929321,3109615495679841.0,196.0
0,304837.25648462796,17324.016276681286,1411036555433219.0,-78902.1680744547,3109615495679841.0,196.0
0,313377.6679423579,16988.725157365436,1394164374557923.8,-79739.6179068577,3109615495679841.0,196.0
0,322157.35011361033,16632.82257096465,1384874425740626.0,-80384.83051158284,3109615495679841.0,196.0
0,331183.00647802826,16262.369541914522,1383953296860365.0,-80784.3991253512,3109615495679841.0,196.0
0,340461.52832193894,16069.488729771692,1392965179752434.0,-80863.22278299055,3109615495679841.0,196.0
1,331183.00647802826,19207.99999999997,1975384821428571.8,-67199.99999999999,2290756974839203.5,196.0
1,340461.52832193894,19184.277469045745,1873927137898454.2,-68969.25179283098,2290756974839203.5,196.0
2,340461.52832193894,19207.99999999997,1975384821428571.8,-67199.99999999999,2755966113482996.0,196.0
