ImpactParameter,Entered,InitialVelocity,Ncaptured,CapturedVolume
[4.9672585e+15],1,121.6,0,0.0
[],0,121.8,0,0.0
[5.318269e+15],1,122.0,0,0.0
[5.7173504e+15],1,122.2,0,0.0
[4.2618391e+15],1,122.4,0,0.0
[3.4533126e+15],1,122.6,0,0.0
[],0,122.8,0,0.0
[3.221149e+15],1,123.0,0,0.0
[1.9224753e+15],1,123.2,0,0.0
[1.3995229e+15],1,123.4,0,0.0
[4.983312e+15],1,123.6,0,0.0
[3.7699057e+15],1,123.8,0,0.0
[4.3098853e+15],1,124.0,0,0.0
[],0,124.2,0,0.0
[],0,124.4,0,0.0
[],0,124.6,0,0.0
[],0,124.8,0,0.0
[1.3395898e+15 5.4645803e+15],2,125.0,0,0.0
[3.9847238e+15 5.6020134e+15],2,125.2,0,0.0
[],0,125.4,0,0.0
[],0,125.6,0,0.0
[5.8724889e+15 3.2217637e+15],2,125.8,0,0.0
[],0,126.0,0,0.0
[4.581245e+15 2.468563e+15],2,126.2,0,0.0
[],0,126.4,0,0.0
[],0,126.6,0,0.0
[5.806421e+15],1,126.8,0,0.0
[5.1451126e+15 2.8339832e+15],2,127.0,0,0.0
[],0,127.2,0,0.0
[],0,127.4,0,0.0
[4.3712948e+15],1,127.6,0,0.0
[],0,127.8,0,0.0
[],0,128.0,0,0.0
[],0,128.2,0,0.0
[3.7220154e+15],1,128.4,0,0.0
[1.9870190e+15 5.6035134e+15],2,128.6,0,0.0
[],0,128.8,0,0.0
[4.3788026e+15 2.8589836e+15],2,129.0,0,0.0
[4.5035387e+15 5.0009171e+15],2,129.2,0,0.0
[],0,129.4,0,0.0
[],0,129.6,0,0.0
[3.0546707e+15],1,129.8,0,0.0
[],0,130.0,0,0.0
[],0,130.2,0,0.0
[3.590435e+15],1,130.4,0,0.0
[],0,130.6,0,0.0
[2.7713787e+15 5.6325001e+15],2,130.8,0,0.0
[],0,131.0,0,0.0
[5.5487633e+15 4.7783863e+15],2,131.2,0,0.0
[],0,131.4,0,0.0
[],0,131.6,0,0.0
[4.7727475e+15 4.6728176e+15 4.5007988e+15],3,131.8,0,0.0
[],0,132.0,0,0.0
[],0,132.2,0,0.0
[5.4191546e+15],1,132.4,0,0.0
[5.2370485e+15],1,132.6,0,0.0
[],0,132.8,0,0.0
[],0,133.0,0,0.0
[2.7024490e+15 2.3593407e+15],2,133.2,0,0.0
[2.3299153e+15],1,133.4,0,0.0
[],0,133.6,0,0.0
[5.153748e+15],1,133.8,0,0.0
[],0,134.0,0,0.0
[2.860058e+15],1,134.2,0,0.0
[4.7954974e+15],1,134.4,0,0.0
[3.869129e+15],1,134.6,0,0.0
[2.5721174e+15],1,134.8,0,0.0
[2.8880455e+15],1,135.0,0,0.0
[3.9906826e+15 2.8812791e+15],2,135.2,0,0.0
[],0,135.4,0,0.0
[4.047557e+15],1,135.6,0,0.0
[4.4513637e+15],1,135.8,0,0.0
[],0,136.0,0,0.0
[],0,136.2,0,0.0
[3.4858376e+15 4.1069862e+15],2,136.4,0,0.0
[],0,136.6,0,0.0
[],0,136.8,0,0.0
[],0,137.0,0,0.0
[2.8318368e+15],1,137.2,0,0.0
[4.2187714e+15],1,137.4,0,0.0
[5.1370445e+15],1,137.6,0,0.0
[],0,137.8,0,0.0
[],0,138.0,0,0.0
[],0,138.2,0,0.0
[],0,138.4,0,0.0
[4.4805896e+15 4.9917060e+15],2,138.6,0,0.0
[],0,138.8,0,0.0
[4.7232732e+15 4.2808065e+15 4.0755519e+15],3,139.0,0,0.0
[5.3415166e+15],1,139.2,0,0.0
[3.7247954e+15],1,139.4,0,0.0
[],0,139.6,0,0.0
[],0,139.8,0,0.0
[4.4942098e+15 3.1420665e+15],2,140.0,0,0.0
[],0,140.2,0,0.0
[3.3710500e+15 4.9506504e+15],2,140.4,1,1.7466802096074622e+47
[],0,140.6,0,0.0
[],0,140.8,0,0.0
[],0,141.0,0,0.0
[],0,141.2,0,0.0
[5.370938e+15],1,141.4,0,0.0
[],0,141.6,0,0.0
[3.749053e+15],1,141.8,0,0.0
[],0,142.0,0,0.0
[5.252747e+15],1,142.2,0,0.0
[],0,142.4,0,0.0
[2.2667522e+15],1,142.6,0,0.0
[3.0476758e+15],1,142.8,0,0.0
[],0,143.0,0,0.0
[5.121869e+15],1,143.2,0,0.0
[3.166978e+15],1,143.4,0,0.0
[2.7806786e+15],1,143.6,0,0.0
[],0,143.8,0,0.0
[3.9540803e+15],1,144.0,0,0.0
[4.5605063e+15],1,144.2,0,0.0
[4.4893164e+15],1,144.4,0,0.0
[4.0748757e+15 4.9736790e+15 2.1796637e+15],3,144.6,0,0.0
[4.0950717e+15],1,144.8,0,0.0
[4.08280745e+15 1.06139836e+15 4.93005767e+15],3,145.0,0,0.0
[],0,145.2,0,0.0
[],0,145.4,0,0.0
[2.9241973e+15],1,145.6,0,0.0
[],0,145.8,0,0.0
[2.5591895e+15],1,146.0,0,0.0
[5.322752e+14 4.846972e+15],2,146.2,0,0.0
[],0,146.4,0,0.0
[3.3971962e+15],1,146.6,0,0.0
[1.6282186e+15],1,146.8,0,0.0
[3.4635285e+15 5.0838438e+15 2.7944445e+15 3.7766646e+15],4,147.0,0,0.0
[3.6571553e+15],1,147.2,0,0.0
[],0,147.4,0,0.0
"[3.1376994e+15 4.6661867e+15 8.7117318e+14 1.8695209e+15 2.3370630e+15
 2.2633031e+15]",6,147.6,1,2.3780244082031005e+47
[2.8410234e+15],1,147.8,0,0.0
[2.0228633e+15 3.5997885e+15],2,148.0,0,0.0
[2.7702418e+15 2.6721730e+15],2,148.2,0,0.0
[4.540235e+15],1,148.4,0,0.0
[8.2379392e+14 2.1351497e+15],2,148.6,0,0.0
[4.0679971e+15 3.9701534e+15],2,148.8,0,0.0
[],0,149.0,0,0.0
[3.8409874e+15 1.6468040e+15],2,149.2,0,0.0
[3.2155725e+15 2.5807175e+15 2.6675551e+15],3,149.4,0,0.0
[4.2504446e+15],1,149.6,0,0.0
[3.9843268e+15],1,149.8,0,0.0
[2.9513045e+15],1,150.0,0,0.0
[2.1113941e+15 3.8547568e+15 1.8096034e+15],3,150.2,0,0.0
[],0,150.4,0,0.0
[],0,150.6,0,0.0
[3.910917e+15],1,150.8,0,0.0
[2.7469623e+15],1,151.0,0,0.0
[],0,151.2,0,0.0
[],0,151.4,0,0.0
[],0,151.6,0,0.0
[],0,151.8,0,0.0
[5.0185973e+15 4.4791846e+15],2,152.0,0,0.0
[3.9927082e+15 1.8314489e+15],2,152.2,0,0.0
[2.5839133e+15 3.9334677e+15],2,152.4,0,0.0
[],0,152.6,0,0.0
[1.572418e+15],1,152.8,0,0.0
[4.133309e+15],1,153.0,0,0.0
[2.5994482e+15],1,153.2,0,0.0
[9.3104288e+14 4.5047222e+15 4.1009813e+15 4.8754804e+15 4.4124897e+15],5,153.4,1,4.320719709934194e+47
[],0,153.6,0,0.0
[4.6917578e+15 3.9490353e+15],2,153.8,0,0.0
[4.3770903e+15],1,154.0,0,0.0
[2.9224216e+15 2.9945629e+15],2,154.2,0,0.0
[4.686785e+15 4.868490e+15],2,154.4,0,0.0
[],0,154.6,0,0.0
[2.8581867e+15],1,154.8,0,0.0
[],0,155.0,0,0.0
[],0,155.2,0,0.0
[2.0115687e+15 4.2388192e+15 8.8885006e+14],3,155.4,0,0.0
[3.5919327e+15 3.3514454e+15],2,155.6,0,0.0
[],0,155.8,0,0.0
[],0,156.0,0,0.0
[1.9090055e+15],1,156.2,0,0.0
[4.5963135e+15 2.1641826e+15],2,156.4,0,0.0
[2.351960e+15 4.508869e+15],2,156.6,0,0.0
[2.0282721e+15],1,156.8,0,0.0
[3.578324e+15 4.525807e+15 4.775180e+15],3,157.0,0,0.0
[2.5767517e+15 4.8483491e+15],2,157.2,0,0.0
[3.1273861e+15 3.1811677e+15],2,157.4,0,0.0
[4.6205935e+15],1,157.6,0,0.0
[],0,157.8,0,0.0
[3.3173554e+15 2.3067233e+15],2,158.0,0,0.0
[4.0094414e+15 1.4818332e+15 2.1670058e+15 3.6293912e+15],4,158.2,0,0.0
[1.6338917e+15],1,158.4,0,0.0
[2.9429838e+15 4.4296569e+15 4.2705775e+15 1.9440077e+15],4,158.6,0,0.0
[3.9550292e+15],1,158.8,0,0.0
[4.0915402e+15],1,159.0,0,0.0
[],0,159.2,0,0.0
[2.0648738e+15 4.5007190e+15],2,159.4,0,0.0
[2.3500338e+15 1.9251030e+15 2.5313361e+15],3,159.6,0,0.0
[],0,159.8,0,0.0
[],0,160.0,0,0.0
[4.0619084e+15 3.5564788e+15],2,160.2,0,0.0
[4.8023935e+15],1,160.4,0,0.0
[2.8922014e+15],1,160.6,0,0.0
[],0,160.8,0,0.0
[],0,161.0,0,0.0
[3.7874157e+15],1,161.2,0,0.0
[2.966531e+15],1,161.4,0,0.0
[],0,161.6,0,0.0
[],0,161.8,0,0.0
[],0,162.0,0,0.0
[3.6518547e+15],1,162.2,0,0.0
[],0,162.4,0,0.0
[1.6444894e+15],1,162.6,0,0.0
[4.7477546e+15],1,162.8,0,0.0
[1.1646883e+15],1,163.0,0,0.0
[1.9478101e+15],1,163.2,0,0.0
[3.9392447e+15 1.4900039e+15],2,163.4,0,0.0
[4.0504645e+15],1,163.6,0,0.0
[],0,163.8,0,0.0
[4.5517387e+15],1,164.0,0,0.0
[],0,164.2,0,0.0
[],0,164.4,0,0.0
[4.67718e+15],1,164.6,0,0.0
[],0,164.8,0,0.0
[2.6848608e+15 3.1734740e+15],2,165.0,0,0.0
[4.5360986e+15],1,165.2,0,0.0
[2.7097706e+15],1,165.4,0,0.0
[3.914236e+15],1,165.6,0,0.0
[3.2153916e+15],1,165.8,0,0.0
[],0,166.0,0,0.0
[],0,166.2,0,0.0
[2.9831254e+15],1,166.4,0,0.0
[4.1655943e+15],1,166.6,0,0.0
[],0,166.8,0,0.0
[3.6030234e+15],1,167.0,0,0.0
[2.5712082e+15],1,167.2,0,0.0
[3.1275759e+15 1.7863910e+15 3.1632402e+15],3,167.4,0,0.0
[9.3955745e+14 1.1481865e+15 3.4400208e+15 4.3194945e+15],4,167.6,0,0.0
[3.1212751e+15 1.8661113e+15],2,167.8,0,0.0
[3.070151e+15],1,168.0,0,0.0
[3.2316461e+15],1,168.2,0,0.0
[4.620888e+15],1,168.4,0,0.0
[4.3036821e+15 4.6238638e+14],2,168.6,0,0.0
[3.2047417e+15],1,168.8,0,0.0
[4.1103479e+15],1,169.0,0,0.0
[2.4373295e+15],1,169.2,0,0.0
[4.386925e+15],1,169.4,0,0.0
[],0,169.6,0,0.0
[3.8333235e+15],1,169.8,0,0.0
[],0,170.0,0,0.0
[],0,170.2,0,0.0
[],0,170.4,0,0.0
[4.5617234e+15],1,170.6,0,0.0
[],0,170.8,0,0.0
[],0,171.0,0,0.0
[4.444806e+15],1,171.2,0,0.0
[],0,171.4,0,0.0
[],0,171.6,0,0.0
[],0,171.8,0,0.0
[],0,172.0,0,0.0
[],0,172.2,0,0.0
[],0,172.4,0,0.0
[],0,172.6,0,0.0
[3.1396796e+15],1,172.8,0,0.0
[2.8853330e+15 3.7541123e+15 2.2776029e+15],3,173.0,0,0.0
[4.4944433e+15],1,173.2,0,0.0
[3.500328e+15],1,173.4,0,0.0
[],0,173.6,0,0.0
[],0,173.8,0,0.0
[3.0795216e+15],1,174.0,0,0.0
[4.6650519e+14 2.9442355e+15],2,174.2,0,0.0
[3.218594e+15],1,174.4,0,0.0
[],0,174.6,0,0.0
[],0,174.8,0,0.0
[4.355646e+15],1,175.0,0,0.0
[],0,175.2,0,0.0
[4.1797365e+15],1,175.4,0,0.0
[4.048863e+15],1,175.6,0,0.0
[4.0594678e+15 4.4371487e+15],2,175.8,0,0.0
[],0,176.0,0,0.0
[2.2023406e+15 3.5520190e+15 3.9751452e+15],3,176.2,0,0.0
[],0,176.4,0,0.0
[2.3498880e+15 3.6719638e+15],2,176.6,0,0.0
[2.0220762e+15],1,176.8,0,0.0
[1.7389431e+15],1,177.0,0,0.0
[3.292789e+14],1,177.2,0,0.0
[],0,177.4,0,0.0
[],0,177.6,0,0.0
[3.7014860e+15 4.0304985e+15 3.9397442e+15],3,177.8,0,0.0
[],0,178.0,0,0.0
[3.3473542e+15],1,178.2,0,0.0
[],0,178.4,0,0.0
[3.5536326e+15 1.9623707e+15],2,178.6,0,0.0
[],0,178.8,0,0.0
[4.2631196e+15],1,179.0,0,0.0
[],0,179.2,0,0.0
[],0,179.4,0,0.0
[1.2241877e+15],1,179.6,0,0.0
[2.4938108e+15 4.2415025e+15],2,179.8,0,0.0
[2.4301593e+15 2.5823188e+15],2,180.0,0,0.0
[2.7512659e+15],1,180.2,0,0.0
[],0,180.4,0,0.0
[4.268923e+15],1,180.6,0,0.0
[],0,180.8,0,0.0
[3.6970818e+15 2.9225647e+15],2,181.0,0,0.0
[],0,181.2,0,0.0
[],0,181.4,0,0.0
[3.3494238e+15 4.3076036e+15],2,181.6,0,0.0
[2.9680527e+15 3.1451259e+15],2,181.8,0,0.0
[],0,182.0,0,0.0
[1.2457845e+15 1.7288257e+14],2,182.2,0,0.0
[],0,182.4,0,0.0
[1.7939764e+15],1,182.6,0,0.0
[3.7914970e+15 3.5659710e+15 3.1678218e+15 3.9763033e+15 1.6750950e+15],5,182.8,0,0.0
[3.1050152e+15],1,183.0,0,0.0
[4.1566817e+15 3.7932142e+15],2,183.2,0,0.0
[4.0803306e+15 1.3626494e+15 2.1301394e+15 3.0443525e+15],4,183.4,0,0.0
[4.2249432e+15],1,183.6,0,0.0
[],0,183.8,0,0.0
[3.0800225e+15],1,184.0,0,0.0
[],0,184.2,0,0.0
[4.2192975e+15],1,184.4,0,0.0
[2.3640327e+15],1,184.6,0,0.0
[2.6784004e+15 4.2669413e+15 2.8923649e+15],3,184.8,0,0.0
[1.6744894e+15 2.9276988e+15],2,185.0,0,0.0
[],0,185.2,0,0.0
[1.6722439e+15 2.2507360e+15],2,185.4,0,0.0
[4.0504151e+15 3.7206252e+15 3.5096468e+15],3,185.6,0,0.0
[3.2386757e+15],1,185.8,0,0.0
[4.2701464e+15],1,186.0,0,0.0
[2.9630287e+15 3.3797667e+15],2,186.2,0,0.0
[3.955270e+15 1.477417e+15],2,186.4,0,0.0
[4.2429295e+15 3.7322434e+15 1.7534440e+15],3,186.6,0,0.0
[4.1722177e+15],1,186.8,0,0.0
[],0,187.0,0,0.0
[],0,187.2,0,0.0
[1.17663565e+14],1,187.4,0,0.0
[],0,187.6,0,0.0
[],0,187.8,0,0.0
[],0,188.0,0,0.0
[3.7690872e+15],1,188.2,0,0.0
[1.07259896e+15],1,188.4,0,0.0
[],0,188.6,0,0.0
[3.9691720e+15 1.2985532e+15],2,188.8,0,0.0
[],0,189.0,0,0.0
[3.1338366e+15],1,189.2,0,0.0
[3.5806316e+15],1,189.4,0,0.0
[],0,189.6,0,0.0
[1.8176277e+15],1,189.8,0,0.0
[],0,190.0,0,0.0
[2.3036763e+15],1,190.2,0,0.0
[2.2426094e+15],1,190.4,0,0.0
[2.4025277e+15],1,190.6,0,0.0
[],0,190.8,0,0.0
[2.486668e+15],1,191.0,0,0.0
[1.05666195e+15],1,191.2,0,0.0
[1.8642594e+15],1,191.4,0,0.0
[],0,191.6,0,0.0
[3.594689e+15],1,191.8,0,0.0
[3.7275655e+14],1,192.0,0,0.0
[2.7264793e+15],1,192.2,0,0.0
[2.3294735e+15],1,192.4,0,0.0
[],0,192.6,0,0.0
[3.9121834e+15 3.5270894e+15 1.7806081e+15],3,192.8,0,0.0
[3.5932445e+15],1,193.0,0,0.0
[],0,193.2,0,0.0
[1.4124225e+15 2.4305923e+15],2,193.4,0,0.0
[1.11217735e+15],1,193.6,0,0.0
[1.8582792e+15],1,193.8,0,0.0
[],0,194.0,0,0.0
[],0,194.2,0,0.0
[],0,194.4,0,0.0
[3.4711394e+15],1,194.6,0,0.0
[],0,194.8,0,0.0
[2.5363417e+15 3.3605225e+15 3.6404988e+15],3,195.0,0,0.0
[2.5063910e+15 1.2386798e+15 2.6717276e+15],3,195.2,0,0.0
[],0,195.4,0,0.0
[3.7072265e+15],1,195.6,0,0.0
[4.0665475e+15 2.3811113e+15],2,195.8,0,0.0
[3.2751993e+15 1.2266092e+15],2,196.0,0,0.0
[3.9862952e+15],1,196.2,0,0.0
[3.468726e+15],1,196.4,0,0.0
[],0,196.6,0,0.0
[],0,196.8,0,0.0
[],0,197.0,0,0.0
[],0,197.2,0,0.0
[3.5764257e+15 2.4878743e+15],2,197.4,0,0.0
[],0,197.6,0,0.0
[1.4069269e+15],1,197.8,0,0.0
[3.2344873e+15 3.3050597e+15 9.4210799e+14],3,198.0,0,0.0
[2.8260855e+15],1,198.2,0,0.0
[3.9085392e+15],1,198.4,0,0.0
[],0,198.6,0,0.0
[1.5314347e+15],1,198.8,0,0.0
[1.9067336e+15 3.5998255e+15 3.1613944e+15 1.9522917e+15],4,199.0,1,2.0980199447984034e+47
[2.0208543e+15],1,199.2,0,0.0
[],0,199.4,0,0.0
[6.9281312e+14 3.4381154e+15 2.6772279e+15],3,199.6,0,0.0
[4.0228784e+15],1,199.8,0,0.0
[1.5502852e+15 1.2192411e+15],2,200.0,0,0.0
