ImpactParameter,Entered,InitialVelocity,Ncaptured,CapturedVolume
[],0,28.0,0,0.0
[],0,28.2,0,0.0
[],0,28.4,0,0.0
[],0,28.6,0,0.0
[1.1389096e+16],1,28.8,0,0.0
[],0,29.0,0,0.0
[2.1908841e+16 1.7872632e+16 1.7937885e+16],3,29.2,0,0.0
[],0,29.4,0,0.0
[],0,29.6,0,0.0
[2.2603517e+16 1.4784454e+16 9.7809387e+15],3,29.8,0,0.0
[],0,30.0,0,0.0
[1.391754e+16],1,30.2,0,0.0
[1.3414149e+16],1,30.4,0,0.0
[1.7308751e+16],1,30.6,0,0.0
[],0,30.8,0,0.0
[6.858526e+15],1,31.0,0,0.0
[1.9041156e+16 1.5476127e+16],2,31.2,0,0.0
[1.786286e+16],1,31.4,0,0.0
[],0,31.6,0,0.0
[6.812841e+15],1,31.8,0,0.0
[1.6464654e+16],1,32.0,0,0.0
[],0,32.2,0,0.0
[],0,32.4,0,0.0
[1.3291101e+16 9.1948217e+15 1.2381486e+16],3,32.6,0,0.0
[],0,32.8,0,0.0
[],0,33.0,0,0.0
[2.6507628e+15],1,33.2,0,0.0
[],0,33.4,0,0.0
[],0,33.6,0,0.0
[1.4755155e+16 3.3224262e+15],2,33.8,0,0.0
[1.6973002e+16],1,34.0,0,0.0
[],0,34.2,0,0.0
[1.6834783e+16],1,34.4,0,0.0
[1.252644e+16],1,34.6,0,0.0
[1.5849421e+16],1,34.8,0,0.0
[],0,35.0,0,0.0
[5.6984960e+15 5.2847457e+15],2,35.2,0,0.0
[],0,35.4,0,0.0
[1.7619383e+16],1,35.6,0,0.0
[1.3142198e+16],1,35.8,0,0.0
[1.6019157e+16],1,36.0,0,0.0
[1.8485153e+16],1,36.2,0,0.0
[1.6092232e+16 1.1798218e+16 1.7839375e+16],3,36.4,0,0.0
[],0,36.6,0,0.0
[1.6564365e+16],1,36.8,0,0.0
[1.8577424e+16],1,37.0,0,0.0
[1.3291409e+16],1,37.2,0,0.0
[9.060767e+15],1,37.4,0,0.0
[],0,37.6,0,0.0
[1.5232878e+16 1.4320690e+16 1.4861661e+16],3,37.8,0,0.0
[],0,38.0,0,0.0
[1.3304404e+16],1,38.2,0,0.0
[1.0292549e+16],1,38.4,0,0.0
[1.3361696e+16 3.9461802e+15],2,38.6,0,0.0
[1.3939370e+16 1.7790698e+16],2,38.8,0,0.0
[],0,39.0,0,0.0
[1.0722897e+16],1,39.2,0,0.0
[6.1271665e+15 1.2960159e+16],2,39.4,0,0.0
[7.6689857e+15],1,39.6,0,0.0
[1.0528569e+16 1.0745645e+16],2,39.8,1,3.123812415027172e+47
[1.7267941e+16],1,40.0,0,0.0
[],0,40.2,0,0.0
[],0,40.4,0,0.0
[1.3240944e+16],1,40.6,0,0.0
[3.5705913e+15],1,40.8,0,0.0
[],0,41.0,0,0.0
[5.9999217e+15],1,41.2,0,0.0
[7.5719941e+15 1.2659926e+16 4.7576491e+15],3,41.4,0,0.0
[1.6846404e+16 1.2046883e+16 1.3265176e+15],3,41.6,0,0.0
[],0,41.8,0,0.0
[1.2983950e+16 1.3911181e+16],2,42.0,0,0.0
[1.0013977e+16 1.6728699e+16],2,42.2,0,0.0
[1.821437e+15 7.239740e+15],2,42.4,0,0.0
[9.070116e+15],1,42.6,0,0.0
[1.2275175e+16],1,42.8,0,0.0
[1.3637261e+16],1,43.0,0,0.0
[],0,43.2,0,0.0
[1.1589788e+16],1,43.4,0,0.0
[5.660052e+15],1,43.6,0,0.0
[],0,43.8,0,0.0
[8.684463e+15 6.122067e+15],2,44.0,0,0.0
[7.1594265e+15],1,44.2,0,0.0
[1.5797868e+16],1,44.4,0,0.0
[8.748137e+15],1,44.6,0,0.0
[1.2632108e+16],1,44.8,0,0.0
[8.088884e+15],1,45.0,0,0.0
[],0,45.2,0,0.0
[7.354396e+15],1,45.4,0,0.0
[7.923185e+15 5.640955e+15],2,45.6,0,0.0
[2.9469346e+15],1,45.8,0,0.0
[5.8378242e+15 1.4986782e+16 1.3561696e+16 5.0197661e+15],4,46.0,1,7.462752252258615e+47
[7.5890317e+15 1.3314976e+16 7.4005390e+15],3,46.2,1,4.64082379943406e+47
[1.5016974e+16],1,46.4,0,0.0
[1.3116496e+16],1,46.6,0,0.0
[1.0260986e+16 8.5007142e+15],2,46.8,0,0.0
[1.0610383e+16],1,47.0,0,0.0
[],0,47.2,0,0.0
[],0,47.4,0,0.0
[8.954043e+15],1,47.6,0,0.0
[1.1875133e+16],1,47.8,0,0.0
[],0,48.0,0,0.0
[1.0324245e+16 7.5468406e+15],2,48.2,0,0.0
[1.2598505e+16],1,48.4,0,0.0
[6.4518231e+15 7.0319454e+15],2,48.6,0,0.0
[1.0847078e+16 9.2406361e+15],2,48.8,0,0.0
[1.4078035e+16],1,49.0,0,0.0
[],0,49.2,0,0.0
[7.2222087e+15],1,49.4,0,0.0
[5.2608136e+15],1,49.6,0,0.0
[],0,49.8,0,0.0
[],0,50.0,0,0.0
[6.491507e+15],1,50.2,0,0.0
[6.148144e+15],1,50.4,0,0.0
[],0,50.6,0,0.0
[9.168412e+15],1,50.8,0,0.0
[],0,51.0,0,0.0
[6.2667981e+15 1.0329605e+16],2,51.2,0,0.0
[5.1544407e+15],1,51.4,0,0.0
[],0,51.6,0,0.0
[3.9589682e+15 7.9660321e+15 7.2311718e+15 9.3114998e+15],4,51.8,2,7.836907867410749e+47
[],0,52.0,0,0.0
[7.1315994e+15 1.3074242e+16],2,52.2,0,0.0
[],0,52.4,0,0.0
[1.3238133e+15 7.0963978e+15],2,52.6,1,9.505995655188217e+46
[9.683555e+15],1,52.8,0,0.0
[1.0336627e+16],1,53.0,0,0.0
[1.2808580e+15 8.5694825e+15 8.5565890e+15],3,53.2,0,0.0
[],0,53.4,0,0.0
[],0,53.6,0,0.0
[7.4892574e+15 1.2550495e+16],2,53.8,1,3.9853919469079215e+47
[8.191639e+15],1,54.0,0,0.0
[1.0059456e+16 7.6334432e+15],2,54.2,0,0.0
[1.1827953e+16 1.1699542e+16],2,54.4,0,0.0
[4.9470115e+15],1,54.6,0,0.0
[],0,54.8,0,0.0
[9.741625e+15],1,55.0,0,0.0
[8.225567e+15 4.648304e+15],2,55.2,0,0.0
[6.464226e+15],1,55.4,0,0.0
[1.0743975e+16],1,55.6,0,0.0
[5.516445e+15],1,55.8,0,0.0
[7.8318815e+15],1,56.0,0,0.0
[],0,56.2,0,0.0
[],0,56.4,0,0.0
[1.0267543e+16 5.1676225e+15 1.1997211e+16 2.4793904e+15],4,56.6,2,1.1078835743976669e+48
[1.1932942e+16],1,56.8,0,0.0
[7.566834e+15],1,57.0,0,0.0
[9.6942340e+15 4.2986486e+15 2.4197419e+15],3,57.2,0,0.0
[8.242272e+15],1,57.4,0,0.0
[8.079433e+15 6.133738e+15],2,57.6,0,0.0
[3.988289e+15],1,57.8,0,0.0
[1.1217210e+16 1.0354766e+16],2,58.0,0,0.0
[],0,58.2,0,0.0
[1.1547438e+16 6.1198313e+15],2,58.4,0,0.0
[1.0958623e+16],1,58.6,0,0.0
[],0,58.8,0,0.0
[],0,59.0,0,0.0
[1.0358554e+16],1,59.2,0,0.0
[],0,59.4,0,0.0
[1.0784292e+16 9.7895501e+15],2,59.6,0,0.0
[9.160424e+15 5.091754e+15],2,59.8,0,0.0
[8.0405396e+15 5.2975238e+15],2,60.0,0,0.0
[],0,60.2,0,0.0
[6.6394085e+15 7.5010401e+15],2,60.4,0,0.0
[1.1621039e+16 2.6869012e+15 4.9627982e+15],3,60.6,0,0.0
[],0,60.8,0,0.0
[1.1599576e+16],1,61.0,0,0.0
[],0,61.2,0,0.0
[1.1247307e+16],1,61.4,0,0.0
[],0,61.6,0,0.0
[1.0300734e+16 1.0655180e+16 3.5399016e+15],3,61.8,0,0.0
[6.2709443e+15],1,62.0,0,0.0
[],0,62.2,0,0.0
[6.547226e+15 9.764190e+15],2,62.4,0,0.0
[],0,62.6,0,0.0
[4.200789e+15],1,62.8,0,0.0
[6.0178725e+15 9.8820626e+15 4.9602867e+15],3,63.0,0,0.0
[],0,63.2,0,0.0
[],0,63.4,0,0.0
[1.4947695e+15 6.7812836e+15],2,63.6,0,0.0
[9.4124069e+15 2.3461398e+15],2,63.8,0,0.0
[8.1059965e+15],1,64.0,0,0.0
[8.233903e+15],1,64.2,0,0.0
[],0,64.4,0,0.0
[],0,64.6,0,0.0
[],0,64.8,0,0.0
[1.0382375e+16 7.8157190e+15 7.2635945e+15],3,65.0,0,0.0
[7.4458933e+15],1,65.2,0,0.0
[],0,65.4,0,0.0
[],0,65.6,0,0.0
[],0,65.8,0,0.0
[],0,66.0,0,0.0
[8.1101008e+15 8.2983546e+15],2,66.2,0,0.0
[1.0706318e+16],1,66.4,0,0.0
[7.5061758e+15 1.0487289e+16],2,66.6,0,0.0
[1.0597304e+16],1,66.8,0,0.0
[],0,67.0,0,0.0
[],0,67.2,0,0.0
[6.775946e+15],1,67.4,0,0.0
[9.900738e+15],1,67.6,0,0.0
[],0,67.8,0,0.0
[],0,68.0,0,0.0
[7.899366e+15],1,68.2,0,0.0
[],0,68.4,0,0.0
[],0,68.6,0,0.0
[7.7569294e+15 8.3737485e+15 6.5885153e+15],3,68.8,1,4.144415223051787e+47
[4.5616134e+15],1,69.0,0,0.0
[9.0560459e+15 5.5979874e+15],2,69.2,0,0.0
[],0,69.4,0,0.0
[7.6264113e+15 8.8040806e+15],2,69.6,0,0.0
[],0,69.8,0,0.0
[6.6443804e+15],1,70.0,0,0.0
[],0,70.2,0,0.0
[],0,70.4,0,0.0
[],0,70.6,0,0.0
[2.0557517e+15],1,70.8,0,0.0
[1.10351413e+15],1,71.0,0,0.0
[9.9207839e+15 1.1472446e+15],2,71.2,0,0.0
[5.4418836e+15],1,71.4,0,0.0
[5.467094e+15],1,71.6,0,0.0
[],0,71.8,0,0.0
[3.9190688e+15],1,72.0,0,0.0
[4.1603096e+15],1,72.2,0,0.0
[5.8721233e+15],1,72.4,0,0.0
[5.986049e+15],1,72.6,0,0.0
[8.4827752e+15 7.4734530e+15 8.4424154e+15 3.6776479e+15],4,72.8,1,5.367765786098005e+47
[],0,73.0,0,0.0
[9.6834365e+15 8.6970559e+15 7.8797467e+15],3,73.2,0,0.0
[],0,73.4,0,0.0
[9.670878e+15],1,73.6,0,0.0
[8.8589359e+15 3.4249143e+15 5.1707004e+15],3,73.8,0,0.0
[],0,74.0,0,0.0
[],0,74.2,0,0.0
[],0,74.4,0,0.0
[],0,74.6,0,0.0
[7.3716134e+15 6.7589793e+15],2,74.8,0,0.0
[],0,75.0,0,0.0
[],0,75.2,0,0.0
[7.3381798e+15 3.6422933e+15],2,75.4,0,0.0
[],0,75.6,0,0.0
[5.2424237e+15 5.0039037e+15 8.6765179e+15 8.2745498e+15],4,75.8,1,5.159499911652418e+47
[],0,76.0,0,0.0
[],0,76.2,0,0.0
[8.2698430e+15 7.7314957e+15],2,76.4,0,0.0
[6.4047766e+15],1,76.6,0,0.0
[],0,76.8,0,0.0
[9.182789e+15],1,77.0,0,0.0
[7.3922341e+15 3.6739518e+15 4.7129857e+15 5.0929524e+15 7.7919447e+15],5,77.2,1,4.7390294715856026e+47
[],0,77.4,0,0.0
[],0,77.6,0,0.0
[6.5011e+15],1,77.8,0,0.0
[3.8640752e+15],1,78.0,0,0.0
[4.5027726e+15 3.4740095e+14],2,78.2,0,0.0
[],0,78.4,0,0.0
[5.2919264e+15 4.8399433e+15],2,78.6,0,0.0
[4.2806602e+15 9.1178623e+15],2,78.8,0,0.0
[8.044800e+15 5.783745e+15],2,79.0,0,0.0
[],0,79.2,0,0.0
[9.019147e+15],1,79.4,0,0.0
[],0,79.6,0,0.0
[6.493838e+15],1,79.8,0,0.0
[7.4992486e+15 3.8382324e+15],2,80.0,0,0.0
[],0,80.2,0,0.0
[],0,80.4,0,0.0
[3.5612027e+15 6.8433802e+15 6.0332678e+15 7.9519607e+15],4,80.6,0,0.0
[1.9990574e+15 6.5983851e+15 6.8723267e+15],3,80.8,1,2.6554211354660905e+47
[7.0906957e+15],1,81.0,0,0.0
[],0,81.2,0,0.0
[5.8979447e+15],1,81.4,0,0.0
[],0,81.6,0,0.0
[],0,81.8,0,0.0
[3.8290356e+15 8.7065719e+15],2,82.0,0,0.0
[1.3714571e+15 7.6107599e+15],2,82.2,0,0.0
[4.04099e+15],1,82.4,0,0.0
[],0,82.6,0,0.0
[],0,82.8,0,0.0
[],0,83.0,0,0.0
[1.7098466e+15 2.1832941e+15],2,83.2,1,2.2189573379220098e+46
[],0,83.4,0,0.0
[3.8017394e+15],1,83.6,0,0.0
[],0,83.8,0,0.0
[6.7113905e+15],1,84.0,0,0.0
[],0,84.2,0,0.0
[],0,84.4,0,0.0
[],0,84.6,0,0.0
[7.0492015e+15],1,84.8,0,0.0
[],0,85.0,0,0.0
[6.8215027e+15 2.9522531e+15 7.8803421e+15],3,85.2,0,0.0
[2.6088157e+15],1,85.4,0,0.0
[3.1619686e+15],1,85.6,0,0.0
[],0,85.8,0,0.0
[6.0147925e+15],1,86.0,0,0.0
[3.8409587e+15],1,86.2,0,0.0
[8.1149848e+15 8.0298231e+15 6.3219224e+15],3,86.4,0,0.0
[4.2487505e+15],1,86.6,0,0.0
[5.2057473e+15 4.9986671e+15],2,86.8,0,0.0
[8.11598e+14],1,87.0,0,0.0
[7.2231933e+15],1,87.2,0,0.0
[7.0419672e+15 6.4616865e+15],2,87.4,0,0.0
[],0,87.6,0,0.0
[1.6487916e+15 3.5220855e+15],2,87.8,0,0.0
[2.2131222e+15 7.7513063e+15 8.1933480e+15],3,88.0,0,0.0
[8.100459e+15 6.606703e+15 4.334547e+15],3,88.2,0,0.0
[5.373921e+15],1,88.4,0,0.0
[5.9602195e+15],1,88.6,0,0.0
[5.0339969e+15 2.3405553e+15],2,88.8,0,0.0
[],0,89.0,0,0.0
[],0,89.2,0,0.0
