particle_id,x,y,vx,vy,time,energy,energy error
0,-16294273304.444036,-92134964472.72385,-251.6050226951742,-1218.3326795603766,921697381.569354,35146.738798547536,1.862645149230957e-09
0,-67885405027.37514,-341048567342.1835,-237.5486763636904,-1144.3676523084016,1133935504.6843193,34901.608279965,-1.6298145055770874e-09
0,-128882678840.01654,-634726099461.391,-230.38184707448508,-1108.757191391056,1395045439.5284946,34903.16616424988,-8.149072527885437e-10
0,-201977884303.9716,-986423069702.8368,-225.08721132439567,-1082.798963502534,1716280838.116139,34904.1330819655,-1.1641532182693481e-10
1,-113896712104.37376,-122095970673.89662,-842.0862459747744,-873.3527684594795,1716280838.116139,35625.993219789234,5.820766091346741e-10
0,-290011215076.0589,-1409854217956.7144,-220.67773781522945,-1061.3164225960647,2111486717.0779853,34904.84418583731,3.4924596548080444e-10
1,-433539779099.6854,-453311941910.1405,-788.120545580952,-816.3521394805198,2111486717.0779853,35323.35572912067,-1.1641532182693481e-09
0,-396308740421.56055,-1921029444252.2683,-216.77152745994195,-1042.3557964328145,2597696168.006203,34905.41062050674,4.656612873077393e-10
1,-809778025985.9907,-842972496494.5409,-762.1803096508546,-789.2949538467469,2597696168.006203,35324.7256400194,-2.3283064365386963e-10
0,-524850780670.24426,-2539090085558.389,-213.17966534822605,-1024.9629425542134,3195864471.557025,34905.88372583827,-8.149072527885437e-10
1,-1259608758249.317,-1308777620537.5525,-743.2311310235954,-769.5889188315589,3195864471.557025,35325.56219537649,-1.1641532182693481e-10
0,-680432528818.3378,-3287088138640.272,-209.7945587015816,-1008.5987988851384,3931772255.1054206,34906.29121599591,-9.313225746154785e-10
1,-1800436929770.3506,-1868766221148.7075,-727.5248824221673,-753.2785926192262,3931772255.1054206,35326.17308753333,2.3283064365386963e-10
0,-868844535277.908,-4192856306572.232,-206.54897646409364,-992.9283886637847,4837136619.40277,34906.6496462666,3.4924596548080444e-10
1,-2452506223068.073,-2543902970286.2373,-713.644459688102,-738.8763848693978,4837136619.40277,35326.6567950343,0.0
