particle_id,x,y,vx,vy,time,energy,energy error
0,-1353810785757.2185,-15713967556.873652,-1047.407787852602,-11.680434745683142,20634234114.824,-20879.85607064492,-1.1641532182693481e-10
0,-5974874816415.162,-67145521563.20661,-932.5981052547064,-10.372426977018344,25385653841.099422,-22060.90260743349,9.38598532229662e-10
0,-11274825891264.137,-126077831988.36298,-885.6670391940743,-9.846462178636866,31231177147.357983,-22060.040009395103,2.3283064365386963e-10
1,-1908452324337.7,-15834581977.003376,-1027.6300743620056,-8.150301333485654,31231177147.357983,-21298.4247036163,9.313225746154785e-10
0,-17512720895010.535,-195420723631.68967,-851.6044331315429,-9.465994582352868,38422741920.10384,-22059.59710382676,-3.4924596548080444e-10
1,-8714188807688.013,-69679075256.09225,-904.3103733997618,-7.148557462681183,38422741920.10384,-22711.19706748915,-1.0477378964424133e-09
0,-24914880458133.01,-277694211739.3024,-823.3195995826408,-9.150565829229356,47270299473.28769,-22059.285271069617,2.3283064365386963e-10
1,-16477276580377.29,-131028721380.06516,-855.6678311901757,-6.760791455609315,47270299473.28769,-22710.39890566625,3.5288394428789616e-10
0,-33733050764599.21,-375697331259.4474,-798.2076571054499,-8.870785367071306,58155173228.93479,-22059.044962901564,3.4924596548080444e-10
1,-25585061192148.17,-202981998764.35428,-820.3852707264198,-6.480571206497368,58155173228.93479,-22710.00463062775,3.4924596548080444e-10
0,-44259747208967.86,-492680961066.0796,-775.0080159297917,-8.61247261233513,71546493484.7427,-22058.84965995152,1.7462298274040222e-10
1,-36363322770784.63,-288117752742.7985,-791.0667528983565,-6.248129342200342,71546493484.7427,-22709.73046752275,-4.656612873077393e-10
0,-56839177260205.13,-632469793437.4685,-753.0083179836198,-8.367629596368047,88021416595.41045,-22058.685334421112,-3.4924596548080444e-10
1,-49170646619330.31,-389269518739.0679,-765.0071819483537,-6.04174170655713,88021416595.41045,-22709.52005134785,-3.4924596548080444e-10
0,-71877862218913.27,-799580559864.5725,-731.7623623408779,-8.13125359978304,108290000000.00012,-22058.543707636767,2.3283064365386963e-10
1,-64420955367998.95,-509706330448.66113,-740.8989861660789,-5.850941982901822,108290000000.00012,-22709.349530669628,-5.820766091346741e-11
