particle_id,x,y,vx,vy,time,energy,energy error
0,-1994149147032.556,-9825982383.969755,-1039.5551666454196,-4.91203488952537,31231177147.357983,-4180.779594891006,-1.6298145055770874e-09
0,-8914704495226.879,-42456362275.76307,-921.5643961263328,-4.341921968768282,38422741920.10384,-5448.1133432062925,1.1641532182693481e-10
0,-16835642011595.045,-79766053506.90192,-873.9755876678328,-4.115926370519911,47270299473.28769,-5447.332929304219,2.3283064365386963e-10
0,-26147085000013.8,-123612688102.77531,-839.4443488329198,-3.952511413887439,58155173228.93479,-5446.945030371426,3.4924596548080444e-10
1,-3313319439539.907,-7916956415.942865,-1010.7811498394254,-2.296166898488907,58155173228.93479,-4759.8479838267085,1.1641532182693481e-10
0,-37185068002256.37,-175581422500.34613,-810.7629201379394,-3.817004886215615,71546493484.7427,-5446.6741895581945,0.0
1,-15667528461956.818,-35895956289.89597,-878.3849537408138,-1.987300810886784,71546493484.7427,-6422.678057543177,-1.1641532182693481e-10
0,-50321913846190.16,-237425840800.76703,-785.2879161039187,-3.696765662585341,88021416595.41045,-5446.466538688866,0.0
1,-29680570250452.17,-67589188909.2188,-828.066265024279,-1.872401738207392,88021416595.41045,-6421.983619847626,2.3283064365386963e-10
0,-65989189049251.57,-311177579083.70825,-761.7407105048163,-3.5856980972793866,108290000000.00012,-5446.298488746572,5.820766091346741e-11
1,-46067625440389.6,-104637688097.96635,-791.5868978787996,-1.7894442408629043,108290000000.00012,-6421.657097958843,2.3283064365386963e-10
2,-5368962089233.414,-7871915203.077791,-984.8241547776124,-1.3563097621445208,108290000000.00012,-6261.618195319723,-1.1641532182693481e-10
