particle_id,x,y,vx,vy,time,energy,energy error
0,-632354476732.5973,-87472224211.38577,-1144.629677419175,-154.5355005297777,7321302540.51978,55043.966465884936,1.1641532182693481e-10
0,-2471039328103.2373,-335517411352.0048,-1058.3808660079264,-142.73472549306112,9007169877.270834,54562.99165067845,-9.313225746154785e-10
0,-4620681550504.684,-625387354770.7413,-1018.6103634585376,-137.3442306293503,11081239813.408297,54563.98353984591,-3.4924596548080444e-10
0,-7180168254396.414,-970478055369.3691,-989.6416535286472,-133.4263188936154,13632903284.319042,54564.55661579018,-3.4924596548080444e-10
0,-10246970240734.018,-1383941104820.1858,-965.6330031486197,-130.1825891635145,16772135166.203262,54564.96671532822,-8.149072527885437e-10
0,-13933236952556.377,-1880898678262.8545,-944.397311456646,-127.3152514886524,20634234114.824,54565.28600396763,-2.3283064365386963e-10
0,-18371937281951.254,-2479276733109.868,-924.8694143388268,-124.67956409678226,25385653841.099422,54565.54730759922,-1.1641532182693481e-10
0,-23722149689182.164,-3200519544244.92,-906.4475533522595,-122.19385933015468,31231177147.357983,54565.76817675296,0.0
0,-30174766785007.406,-4070359177582.566,-888.7570100453113,-119.80732742785928,38422741920.10384,54565.95903829299,1.1641532182693481e-10
1,-2695826100760.2754,-56611942312.36114,-1068.516282296454,-21.653011952915094,38422741920.10384,50316.57018311904,0.0
0,-37959055903020.68,-5119700043723.169,-871.5475816430934,-117.48606485447338,47270299473.28769,54566.126572059,0.0
1,-11536603210030.787,-235482249202.7484,-961.148278650386,-19.43512549071208,47270299473.28769,49332.94376310636,-3.4924596548080444e-10
0,-47350353014902.92,-6385656098482.113,-854.643050722348,-115.2062059377997,58155173228.93479,54566.275311140926,5.820766091346741e-11
1,-21726195029320.258,-441481349586.9484,-915.842881821948,-18.51265366913604,58155173228.93479,49333.639167291054,-1.7462298274040222e-10
0,-58679137769630.74,-7912774154190.722,-837.9138446532144,-112.95020985520767,71546493484.7427,54566.40847758314,2.9103830456733704e-10
1,-33754099063984.89,-684589172589.4019,-882.9374429637917,-17.844688582401535,71546493484.7427,49333.98893966811,0.0
0,-72341746568164.03,-9754477958173.031,-821.2611377207668,-110.70470312805,88021416595.41045,54566.52845186548,2.3283064365386963e-10
1,-48062260943793.41,-973750578350.7516,-855.629542556968,-17.291149401820082,88021416595.41045,49334.23249080568,7.275957614183426e-12
0,-88813003740722.97,-11974770801409.293,-804.6070546447422,-108.45915091984344,108290000000.00012,54566.6370518537,2.9103830456733704e-10
1,-65146786637142.31,-1318994422004.6853,-831.4094420110534,-16.800619732181094,108290000000.00012,49334.4181856208,-5.820766091346741e-11
