particle_id,x,y,vx,vy,time,energy,energy error
0,-1322111217471.6912,-2328026306.133257,-1040.5494468750849,-1.7574564177505758,20634234114.824,-30636.938249584287,-1.1641532182693481e-10
0,-5900667671715.996,-10044660004.827291,-922.9672907666444,-1.5544035862687733,25385653841.099422,-31892.771997013595,6.984919309616089e-10
0,-11142449920337.434,-18870298021.387733,-875.4614166618055,-1.473764236322035,31231177147.357983,-31891.89897514344,8.185452315956354e-10
0,-17305372426923.666,-29243888648.644115,-840.9892746937195,-1.4154519451257803,38422741920.10384,-31891.45289139432,-1.1641532182693481e-10
0,-24611997679129.094,-41540712600.10063,-812.3578994652864,-1.367099608399913,47270299473.28769,-31891.13915362512,-1.2005330063402653e-10
0,-33309047573779.24,-56176141619.97303,-786.9287627402879,-1.324197213438732,58155173228.93479,-31890.89727061079,5.820766091346741e-10
0,-43682592502139.59,-73631563894.65137,-763.4255140149105,-1.2845698402679635,71546493484.7427,-31890.700567866268,-1.1641532182693481e-10
0,-56068651525600.85,-94472313358.98705,-741.1267404728244,-1.2469906466667449,88021416595.41045,-31890.53494179732,-1.1641532182693481e-10
0,-70863369250204.03,-119364823636.70868,-719.5802180529629,-1.2106916886269463,108290000000.00012,-31890.39207070621,-1.2005330063402653e-10
1,-4884633312699.043,-1532589254.4143484,-972.7042774484048,-0.2840583920245974,108290000000.00012,-31170.0972673042,-2.3646862246096134e-10
