particle_id,x,y,vx,vy,time,energy,energy error
0,-459301829974.2664,-7830477661.750592,-1103.0325696643272,-18.24839837861659,5950978123.004202,-28373.795595884905,-6.984919309616089e-10
0,-1885522518892.5825,-31398262039.197952,-1005.2250029173852,-16.603656868971758,7321302540.51978,-29110.133233387547,4.656612873077393e-10
0,-3540154648918.8115,-58724043592.543526,-962.202903643734,-15.888768065000637,9007169877.270834,-29109.026670131832,-3.4924596548080444e-10
0,-5501015284954.597,-91101303160.95557,-930.9202782325374,-15.370308384645671,11081239813.408297,-29108.3999321746,1.0913936421275139e-10
0,-7841360815600.905,-129740902839.39996,-904.9772103091052,-14.940877475495297,13632903284.319042,-29107.95019953588,2.837623469531536e-10
0,-10644391015783.094,-176016781610.05988,-881.9975768341394,-14.56077905301118,16772135166.203262,-29107.59873810003,-1.1641532182693481e-10
0,-14008004620775.568,-231545163479.5601,-860.8276615302084,-14.210784324982344,20634234114.824,-29107.309869317163,-1.1641532182693481e-10
0,-18048610378491.965,-298247651090.27454,-840.8158985346508,-13.880050173187238,25385653841.099422,-29107.06455661444,-1.2005330063402653e-10
0,-22905093543140.914,-378416763972.01184,-821.5558181185324,-13.561819531633114,31231177147.357983,-29106.85150487779,-2.3283064365386963e-10
0,-28743280585855.08,-474789660896.8822,-802.7749224090508,-13.251566150281908,38422741920.10384,-29106.6634846683,0.0
0,-35761084527713.875,-590633080598.4442,-784.2800236393426,-12.946083246653153,47270299473.28769,-29106.495593267085,4.656612873077393e-10
0,-44194470578990.59,-729841814770.4312,-765.9276913488044,-12.642991301609074,58155173228.93479,-29106.34434738464,1.7826096154749393e-10
0,-54324369292093.0,-897052816362.0214,-747.607058420491,-12.340451935228666,71546493484.7427,-29106.207173535484,5.820766091346741e-11
0,-66484658859228.09,-1097776952240.7256,-729.2291998892283,-12.036991287061705,88021416595.41045,-29106.08210498438,3.4924596548080444e-10
0,-81071330305174.1,-1338550278391.7644,-710.720225601995,-11.731385227435537,108290000000.00012,-29105.967593385,-2.9831426218152046e-10
