particle_id,x,y,vx,vy,time,energy,faug
c_uint(0),-30743831586062.875,0.0,1138.097855862428,250.2329362470901,167721351662.03262,332036.5362622902,1.1628267777285304
c_uint(0),16114411793993.145,5593424932512.256,1193.7415717766519,-63.05010643288796,206342341148.24,322187.99419719656,1.1631378233193213
c_uint(0),70167566555824.6,2080106433108.3398,1104.6011741391692,-76.89352083527201,253856538410.99423,321605.6915577728,1.163960688573991
c_uint(0),133449842507963.4,-2427900782355.2773,1064.783586329115,-77.02000960353865,312311771473.5799,321605.98068084253,1.1651409653222067
c_uint(0),208917451750963.22,-7938295166360.633,1036.1352051686083,-76.19404796841822,384227419201.0384,321606.1017759945,1.1665811849273178
c_uint(0),299484375332901.25,-14633103926790.14,1012.555471741798,-75.16234753109458,472702994732.8769,321606.1762048856,1.1682191273688727
c_uint(0),408511406377981.1,-22753375795839.43,991.7952207261653,-74.07335057608691,581551732289.3479,321606.2262652964,1.1700151107615484
c_uint(0),539992757887993.44,-32596255197464.0,972.7701506183973,-72.96724400787636,715464934847.427,321606.26151511556,1.17194422460748
c_uint(0),698718223699013.6,-44522863220732.66,954.8723239894224,-71.85553120071226,880214165954.1044,321606.28681537206,1.1739914404929706
