particle_id,x,y,vx,vy,time,energy,faug
c_uint(0),-57247693328137.19,0.0,1106.0372223382847,1.3584788690088392,312311771473.5799,306533.41084629425,1.1638449401385278
c_uint(0),-30819753114200.68,-2525549842564.3877,-1116.4154991421271,-88.96220538333075,384227419201.0384,274198.7621681796,1.1656989141103344
c_uint(1),-70430049302651.48,0.0,1093.0172573956572,1.0031591520043244,384227419201.0384,306143.2993921025,1.1656989141103344
c_uint(0),-124353239975978.19,-9971254984682.135,-1022.7654565999178,-81.38497539390106,472702994732.8769,273554.44261400925,1.1676172948662726
c_uint(1),-36982440066636.11,-2209548809562.573,-1107.3274478916614,-64.24782927977945,472702994732.8769,273689.4981986686,1.1676172948662726
c_uint(0),-233162627871220.47,-18628349704895.953,-980.8681780996309,-78.03216930805593,581551732289.3479,273554.68415646366,1.1696038950216465
c_uint(1),-150862850567885.44,-8809652796359.256,-1011.1052248717717,-58.57527807480064,581551732289.3479,272985.6732500912,1.1696038950216465
c_uint(0),-362323474898829.7,-28902994036303.227,-950.3862320614129,-75.59884940775171,715464934847.427,273554.7671666804,1.17166285268168
c_uint(1),-283114459399911.25,-16470066079625.809,-968.5137079450584,-56.09332795649303,715464934847.427,272985.90269378223,1.17166285268168
c_uint(0),-516694201168699.8,-41182032916465.914,-925.1135159074937,-73.58372785273545,880214165954.1044,273554.81630755553,1.173798667383268
c_uint(1),-439937971188611.56,-25552192528916.242,-937.5378690802719,-54.29287115368053,880214165954.1044,272985.97465488093,1.173798667383268
