particle_id,x,y,vx,vy,time,energy,faug
c_uint(0),-46532672117113.83,0.0,824.1146641566888,0.8842422521906401,253856538410.99423,20530.075317180366,1.22207586682636
c_uint(0),-10871777140385.977,-448438247712.71375,-960.4767794295313,-35.8329980565637,312311771473.5799,-12898.578139436024,1.2267592882478424
c_uint(0),-68665358714291.51,-2579164074117.7104,-742.5174991808119,-27.29073784198502,384227419201.0384,-16820.076915557904,1.2317521043399762
c_uint(0),-131365066275222.22,-4881719888046.876,-681.3697727005742,-25.007487217571768,472702994732.8769,-16819.671026978118,1.2370899472097994
c_uint(0),-202947538362944.62,-7507901770748.135,-637.0918715606209,-23.36602391966623,581551732289.3479,-16819.43202929423,1.24281447437215
c_uint(0),-285638708149489.8,-10539946006472.516,-600.0112950757808,-21.99611018857745,715464934847.427,-16819.340200333478,1.2489747445303538
c_uint(1),-131146888840999.3,0.0,737.6322349411673,0.30719373185957816,715464934847.427,22628.420845673623,1.2489747445303538
c_uint(2),-131146888840999.3,0.0,737.410925653712,0.3320110563868169,715464934847.427,22465.208401931362,1.2489747445303538
c_uint(0),-381612725920189.1,-14057679366134.1,-566.6866048516744,-20.767526602223846,880214165954.1044,-16819.27847538324,1.255628998196963
c_uint(1),-7820702806567.672,-247093476149.6883,741.3914152919765,-2.8748967118180637,880214165954.1044,-641703.1762285847,1.255628998196963
c_uint(2),-2241890635950.7344,-21804560853.49362,785.3095542597009,-0.9390365629496978,880214165954.1044,-2294458.910170594,1.255628998196963
