particle_id,x,y,vx,vy,time,energy,faug
c_uint(0),-57247693328137.19,0.0,339.97109653506527,1002.4916452214868,312311771473.5799,255158.2421240504,1.5620242338393147
c_uint(0),-30117041394141.535,70871821832082.4,402.48044683023204,958.4544302756556,384227419201.0384,255110.17862037482,1.2843182304168155
c_uint(1),-70430049302651.48,0.0,610.1961772393928,841.4352670233899,384227419201.0384,248975.77539974416,1.2843182304168155
c_uint(0),6075094724050.852,153072356916071.3,410.8482658845616,905.2003917569167,472702994732.8769,255110.62394565885,1.234591564049329
c_uint(1),-12721200847133.078,72531856443082.9,679.9304495130639,781.8215988882932,472702994732.8769,248520.42096047627,1.234591564049329
c_uint(0),50574677501913.11,249451537278351.5,406.2233292382839,868.8676202729758,581551732289.3479,255110.76566319077,1.2145617637363915
c_uint(1),61045135473627.22,153603858240645.88,670.9136622769787,717.3806625358027,581551732289.3479,248506.10224186763,1.2145617637363915
c_uint(0),104504709870087.61,363804201750514.75,399.31193040629665,840.9288340258307,715464934847.427,255110.83810348564,1.2050377930989935
c_uint(1),149611928084064.78,246986326615426.8,652.5459703776205,681.146257085599,715464934847.427,248506.28770630033,1.2050377930989935
c_uint(0),169663932017241.5,500299244225617.5,391.9247123477446,817.4353939714539,880214165954.1044,255110.88377146708,1.2005239133606178
c_uint(1),255643124595408.53,356922637094871.44,635.4971364361038,655.4488282317603,880214165954.1044,248506.35692632117,1.2005239133606178
c_uint(2),-161345921730284.2,0.0,904.2195212989039,371.7029648321976,880214165954.1044,242391.81080288085,1.2005239133606178
