particle_id,x,y,vx,vy,time,energy,faug
c_uint(0),-70430049302651.48,0.0,799.1846547914745,9.112879700170831,384227419201.0384,28189.0122608972,1.2293258920140717
c_uint(0),-13086905092139.662,-5764587453011.652,-904.0374023408006,-349.1720974395599,472702994732.8769,-4675.925040059839,1.2344895878993944
c_uint(0),-93004924395484.06,-36079082212335.62,-672.6040640516497,-254.02006302631318,581551732289.3479,-9348.518242529884,1.2400202189757257
c_uint(0),-178668715263472.1,-68395402400855.695,-613.169423097098,-231.1325113921451,715464934847.427,-9349.170060686389,1.2459627653784466
c_uint(0),-275884921509340.44,-105021603488230.06,-570.0979975332706,-214.6938113027522,880214165954.1044,-9348.931083527103,1.252370575977227
