particle_id,x,y,vx,vy,time,energy,faug
c_uint(0),-3145994741787.783,0.0,1080.3128884016767,2.389166304534063,17162808381.161392,83447.16818206932,1.1697089198527197
c_uint(0),-1595338400976.977,-225306156925.12875,-1088.7242769971429,-149.0467339245264,21114867170.779858,50905.00737721508,1.171771652701813
c_uint(0),-6585191970105.736,-907584146827.0359,-990.7506152172197,-135.40580916195267,25976961680.062035,50140.033023824624,1.1739115248904501
c_uint(0),-12369878097380.191,-1698045002973.605,-947.8549931248541,-129.50686477073705,31958644715.570248,50140.78147136327,1.1761334486951271
c_uint(0),-19222065016193.8,-2634201683850.451,-916.6679997668077,-125.22962969162188,39317722551.05421,50141.164005400205,1.1784427926881418
c_uint(0),-27397261275823.703,-3751000554925.1533,-890.8020086241077,-121.68670767789783,48371366194.027695,50141.428197433415,1.1808454351598145
c_uint(0),-37185281101532.12,-5088041456002.23,-867.8871323577308,-118.55038535002699,59509781230.04202,50141.62741845782,1.1833478263767019
c_uint(0),-48926877751815.25,-6691870895905.315,-846.7729537599109,-115.66196822899553,73213025405.1978,50141.785553227935,1.1859570609441434
c_uint(0),-63026976956434.17,-8617795056429.919,-826.8097602955874,-112.93197141871445,90071698772.70834,50141.91523637029,1.1886809621948191
c_uint(0),-79968397873046.02,-10931755717548.598,-807.5921467207954,-110.3046202918144,110812398134.08295,50142.02392423124,1.1915281807438407
c_uint(0),-100327260352883.9,-13712435291645.94,-788.8482056786486,-107.74253809630152,136329032843.19043,50142.1163778113,1.1945083100801286
c_uint(0),-124790705046837.7,-17053677242574.059,-770.3850288527447,-105.21922546239533,167721351662.03262,50142.195827023825,1.1976320226708022
c_uint(0),-154177396532479.25,-21067286353344.633,-752.0592429710706,-102.7149989420382,206342341148.24,50142.26457282549,1.2009112309792944
c_uint(0),-189461229038457.6,-25886266245200.156,-733.7598652657778,-100.21462979017613,253856538410.99423,50142.324322172295,1.204359278937768
c_uint(0),-231798626350950.84,-31668547670483.21,-715.3977089478278,-97.705885928105,312311771473.5799,50142.376384795265,1.20799117087852
c_uint(0),-282559788942426.6,-38601255812744.2,-696.8984881463513,-95.17858366358145,384227419201.0384,50142.42179343884,1.2118238469144924
c_uint(0),-343364170085713.56,-46905555081096.38,-678.1981134688016,-92.62394109040581,472702994732.8769,50142.46137916,1.2158765163030347
c_uint(1),-86647890183828.8,0.0,846.2503923040691,0.09432849462889632,472702994732.8769,80795.40540095302,1.2158765163030347
c_uint(0),-416120335712074.75,-56842092534344.85,-659.2393316448722,-90.03411650837766,581551732289.3479,50142.49581879875,1.2201710637831824
c_uint(1),-22418010230279.17,-100247973175.19476,-962.0187748194191,-3.937328352589531,581551732289.3479,47236.82454983512,1.2201710637831824
c_uint(0),-503070150680767.6,-68717032101276.41,-639.9692088805623,-87.40186295359085,715464934847.427,50142.52566430019,1.224732548561149
c_uint(1),-132540970609656.95,-546829638779.6136,-764.9104886732033,-3.0941554093781085,715464934847.427,43837.665230630344,1.224732548561149
c_uint(0),-606836896728733.2,-82888625682518.12,-620.3371467415501,-84.72025601233695,880214165954.1044,50142.55135952408,1.2295898219630355
c_uint(1),-253166907239851.4,-1034428541784.3677,-705.7714127955466,-2.8514656050344356,880214165954.1044,43838.05404628956,1.2295898219630355
