particle,time,energy,r,potential,impact parameter,v0,v
0,22083.507056806713,292123.8691605,1975384821428571.8,-67199.99999999999,1374891100715115.2,764.361,847.7309350973338
0,25355.258602624624,292123.8689440898,1907846639637051.0,-69537.75923044722,1374891100715115.2,764.361,850.4841305686274
0,29111.731988593485,292123.8681418177,1831942737622278.8,-72265.96235515016,1374891100715115.2,764.361,853.6859264354401
0,33424.74051075017,292123.86644794745,1747293425762511.8,-75445.13717448877,1374891100715115.2,764.361,857.401893655987
0,38376.73686501157,292123.86342092045,1653995331097492.0,-79132.69528556048,1374891100715115.2,764.361,861.6920084420894
0,44062.38941279583,292123.8584299324,1553077808476093.2,-83363.29700555929,1374891100715115.2,764.361,866.5877398573
0,50590.391976107494,292123.8505965045,1447334007493515.8,-88101.95606541843,1374891100715115.2,764.361,872.0387682459111
0,58085.54176031472,292123.8387699248,1342795979454798.0,-93139.92369843004,1374891100715115.2,764.361,877.7969725037275
0,66691.12512871357,292123.82166318805,1251121238923660.5,-97891.93692475594,1374891100715115.2,764.361,883.1939295397631
0,76571.65683823434,292123.79844296677,1192454800284856.0,-101119.33489117691,1374891100715115.2,764.361,886.8406095056131
0,87916.0251028354,292123.7700670263,1195710509071140.8,-100936.13818161533,1374891100715115.2,764.361,886.6339811316072
0,100941.10260943102,292123.7406259766,1290574461838172.8,-95805.61488369081,1374891100715115.2,764.361,880.8284231445616
0,115895.8925189068,292123.71646008047,1493699214104219.2,-85983.04416161339,1374891100715115.2,764.361,869.6053824829902
0,133066.28871219646,292123.7031834895,1805069516916194.2,-73259.07628254588,1374891100715115.2,764.361,854.8482666134796
0,152780.5412840577,292122.75258874503,2217579798108149.5,-59860.69142280584,1374891100715115.2,764.361,839.0273464095802
0,175415.53176954575,292122.7525886856,2727217984572979.0,-48674.45900947482,1374891100715115.2,764.361,825.5873201523391
0,201403.9780680049,292122.7525886855,3335781142152962.5,-39794.53517574713,1374891100715115.2,764.361,814.7604405767779
0,231242.70680265786,292122.7525886855,4049550348693628.0,-32780.39499936663,1374891100715115.2,764.361,806.1056352464634
0,265502.15126021486,292122.7525886854,4878569618443273.0,-27209.99604026529,1374891100715115.2,764.361,799.1655005428485
0,304837.25648462796,292122.75258868554,5836192998322340.0,-22745.282761923543,1374891100715115.2,764.361,793.5591160721539
1,25355.258602624624,292123.8691605001,1975384821428571.8,-67199.99999999999,1053488884894442.5,764.361,847.7309350973339
1,29111.731988593485,292123.86879646516,1887647453804511.5,-70253.02914230396,1053488884894442.5,764.361,851.3247299811854
1,33424.74051075017,292123.8675739458,1787979050328663.0,-73898.32547291665,1053488884894442.5,764.361,855.5959245424939
1,38376.73686501157,292123.86493586504,1675304712479780.8,-78272.44620900576,1053488884894442.5,764.361,860.6931057524172
1,44062.38941279583,292123.86008579057,1548938709905649.8,-83542.63097322367,1053488884894442.5,764.361,866.7946597193758
1,50590.391976107494,292123.85178659536,1409177575095075.2,-89897.34514301544,1053488884894442.5,764.361,874.0951858117179
1,58085.54176031472,292123.83811193693,1258615612295749.5,-97490.580467464,1053488884894442.5,764.361,882.7393936824174
1,66691.12512871357,292123.8161407887,1105120676864158.0,-106230.54181948889,1053488884894442.5,764.361,892.5854109946875
