particle,time,energy,r,potential,impact parameter,v0,v
0,50590.391976107494,113040.71029602004,1975384821428571.8,-67199.99999999999,1645995358040778.5,475.4802,600.4010497925866
0,58085.54176031472,113040.70951129952,1870061297201630.2,-70882.03581711194,1645995358040778.5,475.4802,606.5026715990812
0,66691.12512871357,113040.70655823896,1753181884622675.8,-75219.06626468305,1645995358040778.5,475.4802,613.611885189526
0,76571.65683823434,113040.70021699512,1625967463916513.0,-80281.22914677038,1645995358040778.5,475.4802,621.8069304273884
0,87916.0251028354,113040.68871795831,1492288261757357.2,-86046.51785397035,1645995358040778.5,475.4802,631.010628392151
0,100941.10260943102,113040.66967171141,1361285759830278.8,-92220.98701176963,1645995358040778.5,475.4802,640.7209325181768
0,115895.8925189068,113040.64562231464,1251837227817251.0,-97853.58996109928,1645995358040778.5,475.4802,649.4524394956322
0,133066.28871219646,113040.68020319549,1197265157811783.0,-100848.82816046814,1645995358040778.5,475.4802,654.048176151671
0,152780.5412840577,113040.76617284915,1241154664159638.5,-98429.39827562492,1645995358040778.5,475.4802,650.3386263301205
0,175415.53176954575,113040.87237851668,1414749802112237.8,-89632.1227270735,1645995358040778.5,475.4802,636.6678806184433
0,201403.9780680049,113040.94328187083,1718874437025227.2,-76547.09453360306,1645995358040778.5,475.4802,615.7727467426175
0,231242.70680265786,113037.2860287842,2136465129737427.8,-62133.408194831856,1645995358040778.5,475.4802,591.8964338862265
0,265502.15126021486,113037.28602878426,2654042792858200.0,-50016.47311686445,1645995358040778.5,475.4802,571.0582442197095
0,304837.25648462796,113037.2860287842,3268988529768425.0,-40607.624894114786,1645995358040778.5,475.4802,554.3372816668549
1,58085.54176031472,113040.71029602004,1975384821428571.8,-67199.99999999999,1231978427185211.5,475.4802,600.4010497925866
1,66691.12512871357,113040.70901258057,1834091251014593.2,-72187.20675145337,1231978427185211.5,475.4802,608.6508289060879
1,76571.65683823434,113040.7042735491,1673666364536466.2,-78338.2220818654,1231978427185211.5,475.4802,618.6742702835063
1,87916.0251028354,113040.69361771732,1493619220298065.5,-85986.60909640645,1231978427185211.5,475.4802,630.9156880505093
1,100941.10260943102,113040.67301158726,1296542373237445.2,-95495.58031443766,1231978427185211.5,475.4802,645.8115101576077
1,115895.8925189068,113040.66609436256,1093579728437039.0,-106936.09747264872,1231978427185211.5,475.4802,663.2899269052882
1,133066.28871219646,113040.74541826772,918807622231589.1,-118637.87100227368,1231978427185211.5,475.4802,680.7034837879727
1,152780.5412840577,113040.13747436507,852622570394255.2,-123662.31059409608,1231978427185211.5,475.4802,688.0442544901616
1,175415.53176954575,113028.18812859427,988619042047284.1,-113716.8207854172,1231978427185211.5,475.4802,673.4166747475317
1,201403.9780680049,113027.88652428593,1321947811682955.8,-94191.31971830885,1231978427185211.5,475.4802,643.7689123320491
1,231242.70680265786,113027.9139038629,1790362323702069.5,-73808.78419428777,1231978427185211.5,475.4802,611.2883085715785
1,265502.15126021486,113028.86136567994,2355746544815625.5,-56349.80566654698,1231978427185211.5,475.4802,582.0286368078927
1,304837.25648462796,113028.86136567986,3009204102312801.0,-44113.27895571283,1231978427185211.5,475.4802,560.6106319387685
2,152780.5412840577,113040.71029602004,1975384821428571.8,-67199.99999999999,2226269741275211.0,475.4802,600.4010497925866
2,175415.53176954575,113040.71832200204,1813757597919984.2,-72936.39978571507,2226269741275211.0,475.4802,609.8805097848547
2,201403.9780680049,113040.75654858409,1723374127281091.0,-76371.40761739513,2226269741275211.0,475.4802,615.4870659339305
2,231242.70680265786,113040.7862984666,1765963834660190.8,-74730.85906107955,2226269741275211.0,475.4802,612.8158701592937
2,265502.15126021486,113040.7884352123,1990084178191091.0,-66703.64070763117,2226269741275211.0,475.4802,599.5738972684576
2,304837.25648462796,113040.7884352124,2402636662625400.5,-55250.07674483183,2226269741275211.0,475.4802,580.1566429509262
3,175415.53176954575,113040.71029602004,1975384821428571.8,-67199.99999999999,2455135405297329.5,475.4802,600.4010497925866
3,201403.9780680049,113040.71495029269,1938217497562136.0,-68476.43339578202,2455135405297329.5,475.4802,602.5232748136369
3,231242.70680265786,113040.37777929525,2019725958297980.2,-65724.68876513561,2455135405297329.5,475.4802,597.9382351789035
3,265502.15126021486,113040.37777929526,2255422780529872.5,-58856.308957211855,2455135405297329.5,475.4802,586.3389578332777
3,304837.25648462796,113040.3777792952,2657819923675511.5,-49945.3927700358,2455135405297329.5,475.4802,570.9391746050204
4,175415.53176954575,113040.71029602004,1975384821428571.8,-67199.99999999999,1937317651234904.8,475.4802,600.4010497925866
4,201403.9780680049,113040.73456993935,1696671624784244.5,-77420.77506059787,1937317651234904.8,475.4802,617.1896137015548
4,231242.70680265786,113040.75954293441,1491588927639636.2,-86077.87522431831,1937317651234904.8,475.4802,631.0604325534167
4,265502.15126021486,113039.59806505447,1481833070972388.8,-86519.51967581561,1937317651234904.8,475.4802,631.758051378643
4,304837.25648462796,113034.25289845598,1764073472597619.8,-74802.92245237093,1937317651234904.8,475.4802,612.9227934264264
5,201403.9780680049,113040.71029602004,1975384821428571.8,-67199.99999999999,2201513268808488.2,475.4802,600.4010497925866
5,231242.70680265786,113040.7237979151,1765516950064752.2,-74747.86640697528,2201513268808488.2,475.4802,612.84352032944
5,265502.15126021486,113040.7122184705,1699727473901384.0,-77299.83219316797,2201513268808488.2,475.4802,616.9935889644859
5,304837.25648462796,113040.63841816467,1877775037150037.2,-70605.41756370738,2201513268808488.2,475.4802,606.046295231432
6,231242.70680265786,113040.71029602004,1975384821428571.8,-67199.99999999999,2400037245320225.5,475.4802,600.4010497925866
6,265502.15126021486,113040.71165568464,1884144247165867.8,-70377.84487086315,2400037245320225.5,475.4802,605.6707959387637
6,304837.25648462796,113040.76201826653,2001472622321150.5,-66324.09482876254,2400037245320225.5,475.4802,598.9404926151329
7,231242.70680265786,113040.71029602004,1975384821428571.8,-67199.99999999999,1928697011329897.5,475.4802,600.4010497925866
7,265502.15126021486,113040.69489639066,1621555305486468.5,-80463.77168380545,1928697011329897.5,475.4802,622.1004204791958
7,304837.25648462796,112980.19825005381,1445594008165482.0,-88271.21316461301,1928697011329897.5,475.4802,634.4311017197483
8,265502.15126021486,113040.71029602004,1975384821428571.8,-67199.99999999999,1626689925175125.0,475.4802,600.4010497925866
8,304837.25648462796,113018.57495290994,1463633489183625.8,-87422.30032870219,1626689925175125.0,475.4802,633.1522333240437
9,265502.15126021486,113040.71029602004,1975384821428571.8,-67199.99999999999,1223755291787023.2,475.4802,600.4010497925866
9,304837.25648462796,112988.54624993437,1346366223285841.0,-93182.730309346,1223755291787023.2,475.4802,642.1390450039312
10,265502.15126021486,113040.71029602004,1975384821428571.8,-67199.99999999999,1890780826371989.8,475.4802,600.4010497925866
10,304837.25648462796,113033.26846346418,1565358796329536.8,-82853.19187146857,1890780826371989.8,475.4802,625.9176628518047
11,304837.25648462796,113040.71029602004,1975384821428571.8,-67199.99999999999,1902589011625223.8,475.4802,600.4010497925866
