particle,time,energy,r,potential,impact parameter,v0,v
0,157060.88647659603,912493.7741205002,908534974050687.4,-119393.29889703178,354453892210136.94,1350.921,1436.5841938553633
0,161461.1510961327,912474.9466355606,725884480323046.2,-134656.23922544235,354453892210136.94,1350.921,1447.1566507196123
0,165984.69484108573,912316.3620224581,549037300866699.1,-155223.88705948554,354453892210136.94,1350.921,1461.1914652652085
0,170634.97153618548,911783.2870181054,396342482507634.2,-183968.6855973298,354453892210136.94,1350.921,1480.3729074901603
0,175415.53176954575,910649.6382798769,320485910338498.25,-207607.57975291793,354453892210136.94,1350.921,1495.4980561891712
0,180330.0256036147,909400.3358644168,383629688947452.5,-189050.76974876766,354453892210136.94,1350.921,1482.195065174071
0,185382.20536208036,908701.088968783,545693095233810.5,-157175.2904648335,354453892210136.94,1350.921,1460.0523137433238
0,190575.92849484697,908431.5979981734,749132481623644.5,-133008.2776651844,354453892210136.94,1350.921,1443.2185390046498
0,195915.1605232883,908361.3141926118,971915200634401.9,-114902.52123291566,354453892210136.94,1350.921,1430.5690024780542
0,201403.9780680049,908355.6635359412,1206603731385384.8,-100326.4343443326,354453892210136.94,1350.921,1420.3394649732675
0,207046.57196141605,908355.6603565194,1450339304241803.5,-87962.42336924405,354453892210136.94,1350.921,1411.6076535112463
0,212847.25044755166,908355.6668522931,1701912948532032.0,-77213.46418367815,354453892210136.94,1350.921,1403.972315279736
0,218810.44247149065,908355.6701227935,1960807261926645.0,-67697.74722616197,354453892210136.94,1350.921,1397.1781685590106
0,224940.70106095684,908355.8482642274,2226847815940237.0,-59611.554525539505,354453892210136.94,1350.921,1391.3787426791937
0,231242.70680265882,908355.8482642275,2500111459004160.5,-53095.97679012082,354453892210136.94,1350.921,1386.6880146985827
0,237721.2714160141,908355.8482642273,2780762281674484.0,-47737.21970943334,354453892210136.94,1350.921,1382.8181861500525
0,244381.34142700973,908355.8482642274,3068993578619866.5,-43253.87349285238,354453892210136.94,1350.921,1379.5721958325196
0,251228.00194497657,908355.8482642274,3365016872022691.0,-39448.79477534604,354453892210136.94,1350.921,1376.8112746775234
0,258266.4805451856,908355.8482642273,3669056259395750.0,-36179.837706239385,354453892210136.94,1350.921,1374.434928230847
0,265502.15126021486,908355.8482642274,3981345440365794.5,-33341.95989479469,354453892210136.94,1350.921,1372.3686153209874
0,272940.5386831414,908355.8482642274,4302126153873530.0,-30855.873410517925,354453892210136.94,1350.921,1370.5558884443533
0,280587.3221856877,908355.8482642272,4631647385291820.0,-28660.614454706865,354453892210136.94,1350.921,1368.9532225163387
0,288448.3402545511,908355.8482642277,4970165006527481.0,-26708.541834257114,354453892210136.94,1350.921,1367.5265190104979
0,296529.59494920814,908355.8482642273,5317941665709207.0,-24961.88720082488,354453892210136.94,1350.921,1366.248685609653
0,304837.25648462796,908355.8482642275,5675246823782247.0,-23390.323649664988,354453892210136.94,1350.921,1365.0979246295062
0,313377.6679423579,908355.8482642276,6042356879185113.0,-21969.218742654346,354453892210136.94,1350.921,1364.0564995680215
0,322157.35011361033,908355.8482642277,6419555346300054.0,-20678.357431174543,354453892210136.94,1350.921,1363.1098310080536
0,331183.00647802826,908355.8482642276,6807133067403785.0,-19500.993837722755,354453892210136.94,1350.921,1362.2458237058026
0,340461.52832193894,908355.8482642277,7205388446050550.0,-18423.137210980105,354453892210136.94,1350.921,1361.45435874671
