particle,time,energy,r,potential,impact parameter,v0,v
0,3873.1832439218374,1620010.8000180004,22404829852621.805,-368205.4974439263,8495900278958.001,1800.006,1994.0994445924339
0,3981.6955003820012,1619974.0416292713,16139067606346.58,-390756.8854502277,8495900278958.001,1800.006,2005.3582857332497
0,4093.247868569546,1619635.4615307546,10430298375369.719,-425943.1875606315,8495900278958.001,1800.006,2022.6609449393075
0,4207.925521160947,1618534.6325352322,7498320430420.593,-461214.2050277862,8495900278958.001,1800.006,2039.4846592034069
0,4325.816017055793,1617386.6152504438,10595254559316.775,-425876.10151535296,8495900278958.001,1800.006,2021.5156278227466
0,4447.009368229907,1616987.2107051401,16884346167631.838,-388059.2459098232,8495900278958.001,1800.006,2002.5216386421214
0,4571.598108461442,1616921.2058075862,24141712686065.1,-363196.6776837467,8495900278958.001,1800.006,1990.0341120148332
0,4699.677363982526,1616920.3395466397,31849176279917.414,-344568.83620911493,8495900278958.001,1800.006,1980.6509918487682
0,4831.344926110085,1616920.3486676854,39866596447708.37,-329480.65564311325,8495900278958.001,1800.006,1973.0185018447235
0,4966.701325911815,1616920.3538766014,48147045884356.66,-316798.62748878833,8495900278958.001,1800.006,1966.5802711129743
0,5105.849910963718,1616920.3505685306,56673743153314.49,-305841.5625105427,8495900278958.001,1800.006,1961.00072059093
0,5248.896924258311,1616920.340881438,65441759486512.836,-296174.82661786786,8495900278958.001,1800.006,1956.0650129785083
0,5395.951585323467,1616920.3316874777,74451560193029.45,-287506.7861807532,8495900278958.001,1800.006,1951.628611118535
0,5547.126173613912,1616920.3233395068,83706363154127.58,-279633.1816228951,8495900278958.001,1800.006,1947.5900518139858
0,5702.536114239027,1616920.3156827562,93210935034662.16,-272405.7935799545,8495900278958.001,1800.006,1943.8755666259663
0,5862.3000660925345,1616920.3086017617,102970996145382.8,-265713.8411338556,8495900278958.001,1800.006,1940.4299264521856
0,6026.540012451011,1616920.3020081217,112992907372129.2,-259472.44240888307,8495900278958.001,1800.006,1937.2107497208478
0,6195.381354110967,1616920.2958326708,123283497622526.2,-253615.17348227772,8495900278958.001,1800.006,1934.1848253540552
0,6368.953005134941,1616920.2900202996,133849965519534.33,-248089.10586533044,8495900278958.001,1800.006,1931.325656581836
0,6547.387491280308,1616920.284526398,144699822294630.3,-242851.39890220563,8495900278958.001,1800.006,1928.611771937838
0,6730.821051185567,1616920.279314367,155840858511737.7,-237866.89950000797,8495900278958.001,1800.006,1926.0255340022754
0,6919.393740391532,1616920.2743538215,167281125079284.44,-233106.41315995093,8495900278958.001,1800.006,1923.5522802948572
0,7113.249538276775,1616920.269619268,179028923105450.44,-228545.43369472504,8495900278958.001,1800.006,1921.1796913948435
0,7312.536457989145,1616920.265089133,191092799387114.38,-224163.1933931177,8495900278958.001,1800.006,1918.8973179835605
0,7517.406659456852,1616920.260745001,203481545586749.25,-219941.94153944182,8495900278958.001,1800.006,1916.6962212538756
0,7728.01656556614,1616920.2565710407,216204199888709.3,-215866.38858477585,8495900278958.001,1800.006,1914.5686956366003
0,7944.526981593377,1616920.252553561,229270050368190.25,-211923.27243031422,8495900278958.001,1800.006,1912.508052262199
0,8167.103217983518,1616920.248680647,242688639577768.1,-208101.01604721736,8495900278958.001,1800.006,1910.508447889129
0,8395.915216568235,1616920.2449418798,256469770026836.62,-204389.45432501688,8495900278958.001,1800.006,1908.56474832105
0,8631.137680320215,1616920.2413281074,270623510338473.28,-200779.6140312177,8495900278958.001,1800.006,1906.6724183033252
