particle,time,energy,r,potential,impact parameter,v0,v
0,25355.258602624624,356868.611001045,1975384821428571.8,-67199.99999999999,1212542250868472.5,844.8297,920.943658429814
0,29111.731988593485,356868.6106694445,1885924039365341.2,-70314.41059838662,1212542250868472.5,844.8297,924.3192319408172
0,33424.74051075017,356868.60942502774,1785326618280159.8,-73998.0895863556,1212542250868472.5,844.8297,928.2959646700866
0,38376.73686501157,356868.60675585933,1673223842565450.8,-78355.96637570437,1212542250868472.5,844.8297,932.9786419115538
0,44062.38941279583,356868.601895084,1550139798335968.5,-83490.54232765941,1212542250868472.5,844.8297,938.4659229004998
0,50590.391976107494,356868.59370581526,1418466247787177.5,-89455.84432785137,1212542250868472.5,844.8297,944.8009716693423
0,58085.54176031472,356868.58056479564,1284409961338125.2,-96127.28431886027,1212542250868472.5,844.8297,951.8359783950762
0,66691.12512871357,356868.56041298166,1161679355075051.8,-102876.42417116379,1212542250868472.5,844.8297,958.9003958536522
0,76571.65683823434,356868.5315416765,1076973999130105.1,-107964.29646309905,1212542250868472.5,844.8297,964.191711232549
0,87916.0251028354,356868.4950291744,1071831838045648.5,-108285.95917907599,1212542250868472.5,844.8297,964.5252243547085
0,100941.10260943102,356868.45741319814,1186806816300623.0,-101438.44278734415,1212542250868472.5,844.8297,957.3994988514902
0,115895.8925189068,356868.42806203145,1435241513052311.0,-88665.86644820478,1212542250868472.5,844.8297,943.9642943567688
0,133066.28871219646,356868.4132699032,1805443803587821.0,-73245.14348812004,1212542250868472.5,844.8297,927.4842928675647
0,152780.5412840577,356868.5507779455,2282777459523558.0,-58151.029766916305,1212542250868472.5,844.8297,911.0648501010911
0,175415.53176954575,356868.55077794543,2861548418127736.0,-46389.52084789585,1212542250868472.5,844.8297,898.0624383926112
0,201403.9780680049,356868.55077794555,3544486456308579.5,-37451.366124910724,1212542250868472.5,844.8297,888.0539588367998
0,231242.70680265786,356868.55077794543,4339642200219067.5,-30589.125525901403,1212542250868472.5,844.8297,880.2927652819224
0,265502.15126021486,356868.5507779455,5259087403841374.0,-25241.23480112519,1212542250868472.5,844.8297,874.1965289099136
0,304837.25648462796,356868.55077794555,6318326804710434.0,-21009.653995902114,1212542250868472.5,844.8297,869.3425156678438
1,152780.5412840577,356868.611001045,1975384821428571.8,-67199.99999999999,1530398033720807.8,844.8297,920.943658429814
1,175415.53176954575,356868.638648901,1574037594429382.2,-82462.47328265151,1530398033720807.8,844.8297,937.3698436919683
1,201403.9780680049,356868.7112486925,1365038037408988.0,-92035.81082226799,1530398033720807.8,844.8297,947.5278592959264
1,231242.70680265786,356868.71908107784,1590614595895334.2,-81758.357744566,1530398033720807.8,844.8297,936.6184674942555
1,265502.15126021486,356865.5008349639,2249447051886518.2,-59012.66264021264,1530398033720807.8,844.8297,912.0067581714255
1,304837.25648462796,356865.50083496387,3192929540417705.5,-41574.941858138816,1530398033720807.8,844.8297,892.6818500374058
2,175415.53176954575,356868.611001045,1975384821428571.8,-67199.99999999999,1352185123392135.5,844.8297,920.943658429814
2,201403.9780680049,356868.65223435464,1454059559822630.2,-87790.32183241748,1352185123392135.5,844.8297,943.0365571564786
2,231242.70680265786,356856.6769354934,1194200064424818.0,-101037.47306212583,1352185123392135.5,844.8297,956.9682857834101
2,265502.15126021486,356817.2536407231,1573971251200511.2,-82465.27127604141,1352185123392135.5,844.8297,937.3180089134792
2,304837.25648462796,356797.44443501544,2452624095031030.0,-54124.01365090582,1352185123392135.5,844.8297,906.5555229393523
3,175415.53176954575,356868.611001045,1975384821428571.8,-67199.99999999999,1888833386672039.5,844.8297,920.943658429814
3,201403.9780680049,356868.635025319,1731865419002486.5,-76041.1177156631,1888833386672039.5,844.8297,930.4942264635306
3,231242.70680265786,356868.66451143054,1812373789833605.0,-72987.63893844304,1888833386672039.5,844.8297,927.2068846270217
3,265502.15126021486,356870.7156902866,2310899783202241.0,-57443.365119041424,1888833386672039.5,844.8297,910.2901524341873
3,304837.25648462796,356870.7156902866,3150038857334611.0,-42141.02301973577,1888833386672039.5,844.8297,893.3215979814015
4,201403.9780680049,356868.611001045,1975384821428571.8,-67199.99999999999,1650325917186314.2,844.8297,920.943658429814
4,231242.70680265786,356868.6298101503,1550635857165792.5,-83468.95897917142,1650325917186314.2,844.8297,938.4429538222573
4,265502.15126021486,356868.50047729776,1568143874030263.0,-82714.53420806071,1650325917186314.2,844.8297,937.6385600916362
4,304837.25648462796,356877.1957669183,2201986265966870.8,-60284.59943264568,1650325917186314.2,844.8297,913.4131542730967
5,265502.15126021486,356868.611001045,1975384821428571.8,-67199.99999999999,1712939755482868.5,844.8297,920.943658429814
5,304837.25648462796,356854.97619709,1546032805083017.0,-83694.60371362625,1712939755482868.5,844.8297,938.6688232925565
6,265502.15126021486,356868.611001045,1975384821428571.8,-67199.99999999999,1602311516698690.2,844.8297,920.943658429814
6,304837.25648462796,356836.19174939336,1453696481718217.8,-87888.37115155664,1602311516698690.2,844.8297,943.1061052723071
