particle,time,energy,r,potential,impact parameter,v0,v
0,201403.9780680049,394839.10297728004,1975384821428571.8,-67199.99999999999,1376018463852819.8,888.6384,961.2898657296664
0,231242.70680265786,394839.11028255924,1392854062054806.5,-90680.23106780642,1376018463852819.8,888.6384,985.4129503414958
0,265502.15126021486,394751.44812986074,1288463981249909.8,-95976.54328451253,1376018463852819.8,888.6384,990.6846031047149
0,304837.25648462796,394710.3718318726,1987621723798304.8,-66786.27950711132,1376018463852819.8,888.6384,960.7254044095888
1,201403.9780680049,394839.10297728004,1975384821428571.8,-67199.99999999999,1822854815156251.5,888.6384,961.2898657296664
1,231242.70680265786,394839.1220431323,1674524983624376.8,-78303.6771634607,1822854815156251.5,888.6384,972.7721204954355
1,265502.15126021486,394839.11655714584,1859865211023015.0,-71249.40804040321,1822854815156251.5,888.6384,965.4931637226118
1,304837.25648462796,394838.7806225191,2588495725013681.0,-51283.01303232726,1822854815156251.5,888.6384,944.5864636494072
2,231242.70680265786,394839.1029772799,1975384821428571.8,-67199.99999999999,869227975921185.9,888.6384,961.2898657296663
2,265502.15126021486,394764.9106873085,1086646523477242.1,-107830.32033702225,869227975921185.9,888.6384,1002.5918721237778
2,304837.25648462796,392479.0878571487,865244387326517.8,-126809.27615500923,869227975921185.9,888.6384,1019.1058473114144
3,231242.70680265786,394839.10297728004,1975384821428571.8,-67199.99999999999,685700985692375.1,888.6384,961.2898657296664
3,265502.15126021486,394733.5770826164,1022020117001954.2,-112246.87172085223,685700985692375.1,888.6384,1006.9562540681384
3,304837.25648462796,390856.4610831216,698686934067085.4,-146274.0213303214,685700985692375.1,888.6384,1036.4656119847325
4,265502.15126021486,394839.10297728004,1975384821428571.8,-67199.99999999999,963775975962397.8,888.6384,961.2898657296664
4,304837.25648462796,394557.569411481,1027438074690972.9,-112917.70999915911,963775975962397.8,888.6384,1007.4475464366768
5,304837.25648462796,394839.10297728004,1975384821428571.8,-67199.99999999999,2089590268771977.0,888.6384,961.2898657296664
