particle,time,energy,r,potential,impact parameter,v0,v
0,44062.38941279583,1096775.2860480002,1975384821428571.8,-67199.99999999999,1377381506810118.2,1481.064,1525.7622921333455
0,50590.391976107494,1096775.2850847289,1756186400362376.5,-75103.98418157795,1377381506810118.2,1481.064,1530.9338779100206
0,58085.54176031472,1096775.281433133,1543833462826926.8,-83764.4790300692,1377381506810118.2,1481.064,1536.5804635379184
0,66691.12512871357,1096775.2739187656,1376740840108650.0,-91462.2422067228,1377381506810118.2,1481.064,1541.5819901163145
0,76571.65683823434,1096775.262530049,1324796005779019.0,-94046.80898141039,1377381506810118.2,1481.064,1543.257639871878
0,87916.0251028354,1096775.2506525759,1465784440679170.8,-87250.71730604701,1377381506810118.2,1481.064,1538.8475999647417
0,100941.10260943102,1096775.243880365,1823978034195533.8,-72558.77513102483,1377381506810118.2,1481.064,1529.2704267142485
0,115895.8925189068,1096776.1493867626,2371961222151095.5,-55964.59957284411,1377381506810118.2,1481.064,1518.3812096832644
0,133066.28871219646,1096776.1493864567,3082503352625797.0,-43064.303526846736,1377381506810118.2,1481.064,1509.8612207175224
0,152780.5412840577,1096776.1493864567,3946041427926484.5,-33640.2600997916,1377381506810118.2,1481.064,1503.606603793857
0,175415.53176954575,1096776.1493864572,4966481420414808.0,-26728.35127387084,1377381506810118.2,1481.064,1499.0026688837668
0,201403.9780680049,1096776.1493864567,6156465418989391.0,-21562.02479275694,1377381506810118.2,1481.064,1495.5521884435952
0,231242.70680265786,1096776.149386457,7534842721542330.0,-17617.601973359815,1377381506810118.2,1481.064,1492.9124229905897
0,265502.15126021486,1096776.1493864567,9125630181991724.0,-14546.486911332124,1377381506810118.2,1481.064,1490.8538736561602
0,304837.25648462796,1096776.149386457,1.0957765564306236e+16,-12114.318308871803,1377381506810118.2,1481.064,1489.2215870684447
1,44062.38941279583,1096775.2860480002,1975384821428571.8,-67199.99999999999,956918966853381.5,1481.064,1525.7622921333455
1,50590.391976107494,1096775.284844903,1703648451806059.0,-77145.02314561253,956918966853381.5,1481.064,1532.2664963970958
1,58085.54176031472,1096775.2798929748,1411887806387170.5,-89768.20468817255,956918966853381.5,1481.064,1540.4827065443787
1,66691.12512871357,1096775.2680318067,1126118317058531.8,-104965.62249863724,956918966853381.5,1481.064,1550.316671219428
1,76571.65683823434,1096775.2451312994,927642234570391.4,-117994.8319078055,956918966853381.5,1481.064,1558.6982241852365
1,87916.0251028354,1096775.2264301782,978969284437587.8,-114375.83930357764,956918966853381.5,1481.064,1556.374675798701
1,100941.10260943102,1096775.2058260643,1346811407447157.0,-92939.28260062877,956918966853381.5,1481.064,1542.5397812871427
1,115895.8925189068,1096775.1978213037,1938774457729297.2,-68457.12744137377,956918966853381.5,1481.064,1526.5859460002096
