particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,66691.12512871357,1085943.0039119998,1975384821428572.0,-67199.99999999999,1841018096297246.5,1473.732,1518.646110133628,0.0
0,76571.65683823434,1085943.0028276974,1822653680517012.8,-72607.58068375482,1841018096297246.5,1473.732,1522.2027351909812,0.0
0,87916.0251028354,1085943.0000223008,1787582459003056.8,-73913.24181803873,1841018096297246.5,1473.732,1523.06023639273,0.0
0,100941.10260943102,1085942.997827229,1939510259128301.5,-68431.62783958121,1841018096297246.5,1473.732,1519.456893542433,0.0
0,115895.8925189068,1085943.101408203,2312098893089871.0,-57413.57361345365,1841018096297246.5,1473.732,1512.1882654098706,0.0
0,133066.28871219646,1085943.1014082036,2896373151532036.0,-45831.753387778816,1841018096297246.5,1473.732,1504.5097904606553,0.0
0,152780.5412840577,1085943.1014082034,3672716222500048.0,-36143.783499188736,1841018096297246.5,1473.732,1498.056664420537,-4.656612873077393e-10
0,175415.53176954575,1085943.101408203,4631632297172535.0,-28660.70782022941,1841018096297246.5,1473.732,1493.053119770648,0.0
0,201403.9780680049,1085943.1014082034,5776169625185136.0,-22981.641574583307,1841018096297246.5,1473.732,1489.2446024631324,0.0
0,231242.70680265783,1085943.101408203,7119140360360101.0,-18646.332742523064,1841018096297246.5,1473.732,1486.330672596597,0.0
0,265502.15126021486,1085943.1014082034,8680802538720837.0,-15291.887980159128,1841018096297246.5,1473.732,1484.0720935240056,0.0
0,304837.256484628,1085943.1014082031,1.0487679901361866e+16,-12657.314224737393,1841018096297246.5,1473.732,1482.2957974931594,0.0
