particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,100941.10260943102,447295.302792,1975384821428572.0,-67199.99999999999,1890293177574260.8,945.828,1014.3917416777406,0.0
0,115895.8925189068,447295.3009900144,1806465490747166.5,-73207.10517913055,1890293177574260.8,945.828,1020.296433561487,5.820766091346741e-11
0,133066.28871219646,447295.29605306656,1750599439865180.2,-75318.13448610058,1890293177574260.8,945.828,1022.3633703719702,0.0
0,152780.5412840577,447295.2913922035,1882486067118042.5,-70437.03857763042,1890293177574260.8,945.828,1017.5778397447872,0.0
0,175415.53176954575,447295.2165214686,2239914652040061.5,-59263.80269850826,1890293177574260.8,945.828,1006.5376487940994,0.0
0,201403.9780680049,447295.2165214687,2812263242591919.0,-47202.50152601466,1890293177574260.8,945.828,994.4824966257409,0.0
0,231242.70680265783,447295.2165214686,3576433116300755.0,-37116.83000444427,1890293177574260.8,945.828,984.2886228397776,-1.1641532182693481e-10
0,265502.15126021486,447295.2165214687,4520348752574534.0,-29366.28726365316,1890293177574260.8,945.828,976.3826133080432,-5.820766091346741e-11
0,304837.256484628,447295.2165214687,5645530129870565.0,-23513.44460950445,1890293177574260.8,945.828,970.3696832970136,-5.820766091346741e-11
1,304837.256484628,447295.302792,1975384821428572.0,-67199.99999999999,1713785271481373.8,945.828,1014.3917416777406,0.0
