particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,115895.8925189068,268791.12000000005,1975384821428572.0,-67199.99999999999,1955256162501428.0,733.2,819.7452287143855,0.0
0,133066.28871219646,268791.1179734571,1806926151026900.0,-73189.97471680256,1955256162501428.0,733.2,827.0200634691514,0.0
0,152780.5412840577,268791.1127221112,1726252821025739.2,-76259.29555014848,1955256162501428.0,733.2,830.7230685038904,0.0
0,175415.53176954575,268791.13635811536,1801770779168114.5,-73381.96962326791,1955256162501428.0,733.2,827.2522057769121,0.0
0,201403.9780680049,268791.1463475481,2080137885889834.5,-63815.89456182344,1955256162501428.0,733.2,815.6065729374324,0.0
0,231242.70680265783,268791.1463475481,2562269507267492.5,-51807.9224778995,1955256162501428.0,733.2,800.7484858873573,0.0
0,265502.15126021486,268791.14634754823,3228533617487556.0,-41116.4558674482,1955256162501428.0,733.2,787.2834333516696,0.0
0,304837.256484628,268791.1463475482,4064626210192365.0,-32658.81120067805,1955256162501428.0,733.2,776.4663000391275,0.0
1,265502.15126021486,268791.12000000005,1975384821428572.0,-67199.99999999999,1788033797374428.2,733.2,819.7452287143855,0.0
1,304837.256484628,268783.2685360916,1578972800237296.0,-82267.41381747805,1788033797374428.2,733.2,837.9148910880742,0.0
