particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,87916.0251028354,428427.8461125,1975384821428572.0,-67199.99999999999,1697394397144336.5,925.665,995.6182462294472,-5.820766091346741e-11
0,100941.10260943102,428427.8441477571,1756910361286228.5,-75076.30276814633,1697394397144336.5,925.665,1003.4980288131148,-1.1641532182693481e-10
0,115895.8925189068,428427.8374261181,1594450613607602.5,-81596.59103761488,1697394397144336.5,925.665,1009.9746813299164,-1.1641532182693481e-10
0,133066.28871219646,428427.8265092276,1562136704225816.8,-82972.50683241647,1697394397144336.5,925.665,1011.3360799869092,5.820766091346741e-11
0,152780.5412840577,428427.8218799904,1736076572138959.0,-75877.95610999319,1697394397144336.5,925.665,1004.2965478283628,1.1641532182693481e-10
0,175415.53176954575,428427.7931946612,2137666555533430.0,-62098.48755708993,1697394397144336.5,925.665,990.4809748316736,-5.820766091346741e-11
0,201403.9780680049,428427.7931946612,2740872128176843.5,-48431.978506162224,1697394397144336.5,925.665,976.58565594711,-1.1641532182693481e-10
0,231242.70680265783,428427.79319466127,3520323121852599.5,-37708.43056308461,1697394397144336.5,925.665,965.5425663923324,0.0
0,265502.15126021486,428427.79319466127,4466782924718032.0,-29718.44887859189,1697394397144336.5,925.665,957.2316773626468,0.0
0,304837.256484628,428427.7931946612,5584561062703008.0,-23770.151048496027,1697394397144336.5,925.665,950.9973125547276,5.820766091346741e-11
