particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,100941.10260943102,63879.88961249999,1975384821428572.0,-67199.99999999999,2738497993409123.5,357.435,512.0154091675366,0.0
0,115895.8925189068,63879.88911103965,1924955711288066.5,-68937.81715342896,2738497993409123.5,357.435,515.3983047400692,0.0
0,133066.28871219646,63879.88762799614,1894366592423262.8,-70014.26203467393,2738497993409123.5,357.435,517.4826560623459,0.0
0,152780.5412840577,63879.8855425552,1897268687769438.8,-69911.39449084648,2738497993409123.5,357.435,517.2838293111465,0.0
0,175415.53176954575,63879.8861499908,1950182455777650.5,-68062.87168846691,2738497993409123.5,357.435,513.6978836601485,7.275957614183426e-12
0,201403.9780680049,63879.92816526703,2069813811717590.8,-64134.20339960128,2738497993409123.5,357.435,505.9923548135254,7.275957614183426e-12
0,231242.70680265783,63879.92816526701,2270271706849478.5,-58471.35371484467,2738497993409123.5,357.435,494.67419961043385,0.0
0,265502.15126021486,63879.928165267,2561182460794116.0,-51829.91139133486,2738497993409123.5,357.435,481.0609931320598,7.275957614183426e-12
0,304837.256484628,63879.92816526701,2947955957047516.0,-45029.79757301047,2738497993409123.5,357.435,466.7113149223565,-2.9103830456733704e-11
1,133066.28871219646,63879.88961249999,1975384821428572.0,-67199.99999999999,651749297674573.4,357.435,512.0154091675366,0.0
1,152780.5412840577,63879.88732969477,1660064361488409.2,-78886.6046028406,651749297674573.4,357.435,534.3528645614906,0.0
1,175415.53176954575,63879.95457688795,1284472601000211.8,-96123.85514320576,651749297674573.4,357.435,565.6921596064307,0.0
1,201403.9780680049,63796.44895568234,838056415972829.1,-125222.54803350364,651749297674573.4,357.435,614.8479437864064,0.0
1,231242.70680265783,60429.49044455786,364615506055972.3,-207276.05087556972,651749297674573.4,357.435,731.7178982642527,0.0
1,265502.15126021486,50594.29581140253,573748759988880.9,-161443.81583135424,651749297674573.4,357.435,651.2113507038353,7.275957614183426e-12
1,304837.256484628,48478.08929933002,1220501396064955.2,-100119.1411402382,651749297674573.4,357.435,545.155446527994,0.0
