particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,29111.731988593485,654130.069632,1975384821428572.0,-67199.99999999999,1803084951401470.0,1143.792,1201.1078799441789,0.0
0,33424.74051075017,654130.0694224795,1899558440649710.8,-69830.3299047789,1803084951401470.0,1143.792,1203.295806796698,3.4924596548080444e-10
0,38376.73686501157,654130.068689948,1825941958834200.0,-72486.44543062261,1803084951401470.0,1143.792,1205.5011523184626,0.0
0,44062.38941279583,654130.0672830732,1761438796346394.0,-74903.30029004042,1803084951401470.0,1143.792,1207.504341667651,0.0
0,50590.39197610749,654130.0651144204,1716807410062228.0,-76627.96445619705,1803084951401470.0,1143.792,1208.9317843208669,0.0
0,58085.54176031472,654130.0622872498,1707372534531075.5,-76998.29045460274,1803084951401470.0,1143.792,1209.2380681585016,0.0
0,66691.12512871357,654130.0592718953,1752275873621375.8,-75253.79153216508,1803084951401470.0,1143.792,1207.7945610111517,0.0
0,76571.65683823434,654130.057029785,1871321041376668.0,-70836.78052656738,1803084951401470.0,1143.792,1204.131917653836,2.3283064365386963e-10
0,87916.0251028354,654130.0092905527,2080508873807043.5,-63804.51516993217,1803084951401470.0,1143.792,1198.2775341801955,0.0
0,100941.10260943102,654130.0092905526,2389837490156064.0,-55545.97772726851,1803084951401470.0,1143.792,1191.365592098262,0.0
0,115895.8925189068,654130.0092905526,2804851331384611.5,-47327.23567721865,1803084951401470.0,1143.792,1184.4469130930024,0.0
0,133066.28871219646,654130.0092905526,3329716292440569.0,-39867.0181905203,1803084951401470.0,1143.792,1178.1315949256882,0.0
0,152780.5412840577,654130.0092905525,3969887394691610.5,-33438.19277531724,1803084951401470.0,1143.792,1172.6621014306463,0.0
0,175415.53176954575,654130.0092905526,4733501134616847.0,-28043.905816185063,1803084951401470.0,1143.792,1168.0530083063334,0.0
0,201403.9780680049,654130.0092905526,5631894905953179.0,-23570.372355436062,1803084951401470.0,1143.792,1164.2168025294848,0.0
0,231242.70680265783,654130.0092905528,6679775631403903.0,-19872.802220469268,1803084951401470.0,1143.792,1161.0364434513,0.0
0,265502.15126021486,654130.0092905525,7895334588192934.0,-16813.202596697367,1803084951401470.0,1143.792,1158.398214680297,0.0
0,304837.256484628,654130.0092905525,9300428866265018.0,-14273.090188507593,1803084951401470.0,1143.792,1156.2033553653614,0.0
