particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,38376.73686501157,66527.48214449997,1975384821428572.0,-67199.99999999999,1738271431379438.8,364.767,517.1604821416655,0.0
0,44062.38941279583,66527.48188640497,1902946048674542.0,-69710.59526849803,1738271431379438.8,364.767,521.9924849169823,0.0
0,50590.39197610749,66527.48092249339,1820703189397556.5,-72679.52735863888,1738271431379438.8,364.767,527.6495205742772,0.0
0,58085.54176031472,66527.47886677078,1727856117708365.5,-76196.87864518023,1738271431379438.8,364.767,534.2740074380392,0.0
0,66691.12512871357,66527.47514522012,1623997350257205.8,-80362.67457710012,1738271431379438.8,364.767,542.0150361794776,0.0
0,76571.65683823434,66527.46890579944,1509624931629803.2,-85270.27108184039,1738271431379438.8,364.767,550.9949908803887,0.0
0,87916.0251028354,66527.4589003911,1387182046814802.2,-90954.5400357174,1738271431379438.8,364.767,561.216533854997,0.0
0,100941.10260943102,66527.44338231918,1263137519803542.8,-97249.59204237556,1738271431379438.8,364.767,572.3233970836676,0.0
0,115895.8925189068,66527.44018180085,1151835189726327.0,-103448.30003014252,1738271431379438.8,364.767,583.0535828068349,0.0
0,133066.28871219646,66527.50123040873,1080730882407266.0,-107730.14357671289,1738271431379438.8,364.767,590.3518354458155,0.0
0,152780.5412840577,66527.58989046614,1090386516322292.0,-107132.3348179836,1738271431379438.8,364.767,589.3384845883556,0.0
0,175415.53176954575,66527.67326665483,1216162244691296.5,-99796.18726228597,1738271431379438.8,364.767,576.7562059118927,0.0
0,201403.9780680049,66527.73200562394,1464310401336354.8,-87318.19452379366,1738271431379438.8,364.767,554.6997864240036,0.0
0,231242.70680265783,66527.75934964501,1817894390001639.2,-72783.24388909257,1738271431379438.8,364.767,527.8465747520535,0.0
0,265502.15126021486,66527.80473305192,2258070708338495.5,-58787.29107543109,1738271431379438.8,364.767,500.6297949752552,-2.9103830456733704e-11
0,304837.256484628,66527.80473305189,2777006143271351.0,-47801.78838337879,1738271431379438.8,364.767,478.1832140852096,-2.9103830456733704e-11
1,100941.10260943102,66527.48214449997,1975384821428572.0,-67199.99999999999,1048821143478804.0,364.767,517.1604821416655,0.0
1,115895.8925189068,66527.47963496855,1747524735960132.0,-75436.2616955171,1048821143478804.0,364.767,532.8484612542024,0.0
1,133066.28871219646,66527.47118649812,1483081437669208.0,-86462.39652017859,1048821143478804.0,364.767,553.1543504424,0.0
1,152780.5412840577,66527.52501479762,1180140515182589.8,-101816.7526574353,1048821143478804.0,364.767,580.2487012863241,0.0
1,175415.53176954575,66511.24613321092,852012911870158.8,-123769.81898532785,1048821143478804.0,364.767,616.8971796313203,0.0
1,201403.9780680049,65513.70837271091,595795554332249.0,-151194.50212019158,1048821143478804.0,364.767,658.3436951819353,0.0
1,231242.70680265783,63041.00840767054,707927819477968.1,-139098.39809892487,1048821143478804.0,364.767,635.8292325878001,-2.9103830456733704e-11
1,265502.15126021486,62017.98422282119,1168610606958601.5,-102706.37109162804,1048821143478804.0,364.767,573.9762282785747,0.0
1,304837.256484628,61912.613488447445,1761791022475504.5,-74889.92176267834,1048821143478804.0,364.767,523.0727200899045,0.0
2,231242.70680265783,66527.48214449997,1975384821428572.0,-67199.99999999999,1568985684371886.0,364.767,517.1604821416655,0.0
2,265502.15126021486,66527.43691143721,1522948365305496.2,-84679.79797129349,1568985684371886.0,364.767,549.9222397443673,0.0
2,304837.256484628,66162.33241365981,1088673944377358.0,-108508.39579286343,1568985684371886.0,364.767,591.051145344501,0.0
