particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,44062.38941279583,125204.58364050002,1975384821428572.0,-67199.99999999999,1760967143931963.2,500.409,620.3298858518748,0.0
0,50590.39197610749,125204.58327992502,1888087950625032.0,-70237.34988356431,1760967143931963.2,500.409,625.2070587629179,0.0
0,58085.54176031472,125204.58194189012,1792080394912829.2,-73744.3568183925,1760967143931963.2,500.409,630.7914691247538,0.0
0,66691.12512871357,125204.5791225278,1688656437195557.0,-77739.00469594538,1760967143931963.2,500.409,637.0927464953171,-1.4551915228366852e-11
0,76571.65683823434,125204.57412783818,1581109904273445.0,-82161.19562658998,1760967143931963.2,500.409,643.9965368764465,0.0
0,87916.0251028354,125204.5660736314,1476338903185754.2,-86768.5716945806,1760967143931963.2,500.409,651.1115691925801,0.0
0,100941.10260943102,125204.55403534358,1387311373025501.0,-90948.28860072768,1760967143931963.2,500.409,657.4995705490176,0.0
0,115895.8925189068,125204.5375821014,1335683648048923.2,-93496.8358170172,1760967143931963.2,500.409,661.364307169836,0.0
0,133066.28871219646,125204.54634200563,1351198395983095.2,-92720.75701727964,1760967143931963.2,500.409,660.1898262761783,0.0
0,152780.5412840577,125204.58942528164,1462821595471298.2,-87386.69394288333,1760967143931963.2,500.409,652.060247781085,0.0
0,175415.53176954575,125204.64670942225,1685542948737691.0,-77863.01836833282,1760967143931963.2,500.409,637.2874784235997,1.4551915228366852e-11
0,201403.9780680049,125204.71372480762,2017719598032696.8,-65790.04343786369,1760967143931963.2,500.409,618.0530028446934,1.4551915228366852e-11
0,231242.70680265783,125204.7137248076,2451462618024863.5,-54149.65703493083,1760967143931963.2,500.409,598.9229846311434,0.0
0,265502.15126021486,125204.7137248076,2983446171502078.0,-44494.13609938414,1760967143931963.2,500.409,582.578492263818,0.0
0,304837.256484628,125204.71372480765,3615295910694456.0,-36717.84088470398,1760967143931963.2,500.409,569.0739048832087,-1.4551915228366852e-11
1,115895.8925189068,125204.58364050002,1975384821428572.0,-67199.99999999999,1265566984191659.5,500.409,620.3298858518748,0.0
1,133066.28871219646,125204.57999553804,1691302640454368.8,-77633.8081917922,1265566984191659.5,500.409,636.9276068554891,-1.4551915228366852e-11
1,152780.5412840577,125204.59878989783,1382255406451014.5,-91193.61324918864,1265566984191659.5,500.409,657.8726503497261,0.0
1,175415.53176954575,125204.675396591,1081918224792522.8,-107656.21379227852,1265566984191659.5,500.409,682.4381132218064,1.4551915228366852e-11
1,201403.9780680049,125109.13228093344,907045144461072.0,-119680.1925867402,1265566984191659.5,500.409,699.6989707976904,0.0
1,231242.70680265783,124755.82659884285,1055590266497236.0,-109461.3588930771,1265566984191659.5,500.409,684.4226552239777,1.4551915228366852e-11
1,265502.15126021486,124658.6632014206,1521386031340101.2,-84748.7758077915,1265566984191659.5,500.409,647.1590824661462,0.0
1,304837.256484628,124659.01937952673,2168434259825948.8,-61217.37811440727,1265566984191659.5,500.409,609.7153393083267,1.4551915228366852e-11
2,265502.15126021486,125204.58364050002,1975384821428572.0,-67199.99999999999,1519042754670162.0,500.409,620.3298858518748,0.0
2,304837.256484628,125173.53634568886,1423854759467075.5,-89311.22987287422,1519042754670162.0,500.409,654.9576569803014,0.0
