particle,time,energy,r,potential,impact parameter,v0,v,energy error
0,87916.0251028354,1418815.6068645,1975384821428572.0,-67199.99999999999,754312867067848.1,1684.527,1723.9580081106965,0.0
0,100941.10260943102,1418815.600273857,1340986574969640.2,-93230.54812214262,754312867067848.1,1684.527,1738.9917471891576,0.0
0,115895.8925189068,1418815.6333759998,785242854627389.9,-129193.80199113527,754312867067848.1,1684.527,1759.550758214798,0.0
0,133066.28871219646,1418815.6164168362,958912569458044.8,-115766.752547421,754312867067848.1,1684.527,1751.903175957083,0.0
0,152780.5412840577,1418815.6633665157,1853723451141547.5,-71471.72208755113,754312867067848.1,1684.527,1726.434120060228,0.0
0,175415.53176954575,1418815.8006376058,3018490128751989.0,-43977.56969140213,754312867067848.1,1684.527,1710.4346642470784,0.0
0,201403.9780680049,1418815.800637606,4387931180669649.0,-30252.49360901359,754312867067848.1,1684.527,1702.3914322191706,0.0
0,231242.70680265783,1418815.800637606,5971358039480203.0,-22230.430518876627,754312867067848.1,1684.527,1697.6726605305762,0.0
0,265502.15126021486,1418815.800637606,7793895443197027.0,-17032.029871002236,754312867067848.1,1684.527,1694.6078192364205,0.0
0,304837.256484628,1418815.8006376058,9888329827214198.0,-13424.497596617688,754312867067848.1,1684.527,1692.4776502123882,0.0
