particle_id,x,y,vx,vy,time,energy,faug
0,-3184928664503.617,88087101.01395667,2355.7481589638346,-0.0223562189799703,1363290328431.9043,-11724.953786715863,1.274710406847226
0,-226967803940967.56,-5117636797.877595,-591.7128021869672,-0.0127412923624029,1677213516620.3262,-37815.99887848116,1.2837281653599284
0,-438077998067433.8,-9649442938.552364,-510.7865471351781,-0.0109398271497773,2063423411482.4,-37922.34788387506,1.293696575222694
0,-665926560872220.0,-14521613377.733185,-452.34916839867657,-0.0096595211090793,2538565384109.942,-37922.03887989985,1.304795334822254
0,-914976037202289.0,-19833628369.270164,-402.3917622474361,-0.0085735366708343,3123117714735.799,-37921.8170011294,1.3172556013443022
0,-1187057480991281.0,-25624873568.649178,-356.2731741162607,-0.0075759995815347,3842274192010.384,-37921.657859213774,1.3313806318666457
0,-1481801933160726.8,-31886393193.56133,-311.64644441735635,-0.0066142260860589,4727029947328.75,-37921.53026253002,1.347577538561284
0,-1795942443002298.5,-38546642196.30007,-266.9879664207676,-0.0056545139230518,5815517322893.456,-37921.420679569965,1.3664079870491028
0,-2122037306695282.0,-45444562768.80977,-221.81412253013596,-0.0046860334262607,7154649348474.241,-37920.754344711226,1.3886727226856066
0,-2451380370608846.5,-52392323471.61572,-180.00547327044472,-0.003791576790898,8802141659541.008,-37920.75434471121,1.4155611102462862
0,-2774718686606808.0,-59190765219.19033,-140.67104975117556,-0.0029516934653983,10829000000000.014,-37920.75434471122,1.4489330743490851
