particle_id,x,y,vx,vy,time,energy,faug
0,-29921761619861.945,-1708271613330.9624,-1392.190863832804,-58.7340306623957,3842274192010.384,58469.368834662135,1.2681108025250367
0,-666259409830189.0,-25146567734240.105,-611.4372682272402,-22.145629756891807,4727029947328.75,46820.65891824104,1.2764742088389374
0,-1284926976364666.5,-47497402766823.77,-534.0119979474325,-19.256633984181217,5815517322893.456,46752.96866931461,1.285672540904761
1,-67590184631427.59,673643195039.9912,1185.3901254669656,-1.8462125562344376,5815517322893.456,72962.41004614683,1.285672540904761
0,-1959922791477810.0,-71806663317770.4,-478.0194623714377,-17.19668155900345,7154649348474.241,46753.0871085431,1.295854554588988
1,-915874587679024.0,-22845541661912.83,-565.9910590740374,-13.382430674774708,7154649348474.241,40948.276408507416,1.295854554588988
0,-2710171730298195.0,-98774562868937.9,-437.1521614101284,-15.703321935707647,8802141659541.008,46753.07021536331,1.3072090746523106
1,-1769277094089178.0,-42942268322596.07,-480.1115296958378,-11.272024068843692,8802141659541.008,40769.01230291999,1.3072090746523106
0,-3565597005347339.0,-129488375698033.2,-409.4624781232394,-14.695944789698638,10829000000000.014,46753.07021536331,1.319980078583284
1,-2679272462674539.5,-64263545313084.29,-424.7912004327928,-9.937341119495835,10829000000000.014,40769.112949688664,1.319980078583284
