particle_id,x,y,vx,vy,time,energy,faug
0,-337699843311941.06,92754095494614.22,658.3160782330714,50.91905669625022,7154649348474.241,6695.357844950078,1.3805926278600458
0,7731132158070.843,-723473617741000.6,-103.17684579607132,-467.0912209186436,8802141659541.008,-26192.600547812897,1.4041556347173478
0,-193873263308975.47,-1502536536005853.0,-94.0024121258,-324.878158868812,10829000000000.014,-28025.351715835728,1.4333707236151338
1,-638961096785966.1,83023769312779.8,575.7858729965488,33.55555425349923,10829000000000.014,7004.3285153563775,1.4333707236151338
