particle,time,energy,r,potential,impact parameter,v0,v
0,66691.12512871357,172779.75510880502,1975384821428571.8,-67199.99999999999,1978017552423727.5,587.8431,692.7911014278475
0,76571.65683823434,172779.75404111465,1868812630889060.0,-70926.92532207203,1978017552423727.5,587.8431,698.1499543267
0,87916.0251028354,172779.75027447907,1767175070145232.0,-74684.8395469264,1978017552423727.5,587.8431,703.512032336911
0,100941.10260943102,172779.74304015288,1683408831334429.2,-77948.1967617084,1978017552423727.5,587.8431,708.1354952293541
0,115895.8925189068,172779.73215593252,1637967439666529.2,-79787.12839403025,1978017552423727.5,587.8431,710.7275997876582
0,133066.28871219646,172779.71899159596,1658311336822881.0,-78957.63696254221,1978017552423727.5,587.8431,709.559519637554
0,152780.5412840577,172779.70731840612,1772665512056774.5,-74476.4061401453,1978017552423727.5,587.8431,703.2156332997033
0,175415.53176954575,172779.73806168715,1999933613543365.8,-66375.13320495105,1978017552423727.5,587.8431,691.5994090029837
0,201403.9780680049,172779.73806168712,2345893058752675.0,-56586.492510695156,1978017552423727.5,587.8431,677.2979116642576
0,231242.70680265786,172779.73806168718,2809999054069117.5,-47240.53547554499,1978017552423727.5,587.8431,663.355520874338
0,265502.15126021486,172779.73806168718,3391472579947307.5,-39141.06833264223,1978017552423727.5,587.8431,651.0311918707573
0,304837.25648462796,172779.73806168715,4092796862927227.0,-32434.021146375257,1978017552423727.5,587.8431,640.6461725602712
1,76571.65683823434,172779.75510880514,1975384821428571.8,-67199.99999999999,1266359735338598.2,587.8431,692.7911014278476
1,87916.0251028354,172779.7526150826,1770153180505505.5,-74571.68625606011,1266359735338598.2,587.8431,703.3511766836574
1,100941.10260943102,172779.74306300332,1544753627491180.8,-83724.50496463248,1266359735338598.2,587.8431,716.2461141641688
1,115895.8925189068,172779.72145678347,1309424327123241.5,-94831.22367187902,1266359735338598.2,587.8431,731.5886072495423
1,133066.28871219646,172779.76018027932,1095925857462161.2,-106792.01653588329,1266359735338598.2,587.8431,747.7590209635222
1,152780.5412840577,172779.84960605268,983706243886147.9,-114051.35932733247,1266359735338598.2,587.8431,757.4050553480419
1,175415.53176954575,172779.87026266832,1086697457313416.9,-107360.10150902226,1266359735338598.2,587.8431,748.5184991323736
1,201403.9780680049,172779.91167718914,1429169946488067.5,-88950.56194205562,1266359735338598.2,587.8431,723.5060105061253
1,231242.70680265786,172779.9435718669,1945726773484483.8,-68216.5771419289,1266359735338598.2,587.8431,694.2571868029827
1,265502.15126021486,172779.96947926874,2588325175371073.0,-51286.392167077305,1266359735338598.2,587.8431,669.4271605579595
1,304837.25648462796,172779.96947926877,3344939593517339.0,-39685.57765804445,1266359735338598.2,587.8431,651.8673900991109
2,152780.5412840577,172779.75510880502,1975384821428571.8,-67199.99999999999,1873032746375315.0,587.8431,692.7911014278475
2,175415.53176954575,172779.77020150685,1718999209526102.8,-76542.26237695011,1873032746375315.0,587.8431,706.1473395523868
2,201403.9780680049,172779.8292491708,1552626555733704.0,-83382.773389926,1873032746375315.0,587.8431,715.7689608233886
2,231242.70680265786,172779.85981462232,1588125051403555.5,-81863.61780568463,1873032746375315.0,587.8431,713.6434370472512
2,265502.15126021486,172779.85482417996,1900487524040293.2,-69797.45959336331,1873032746375315.0,587.8431,696.5304220456466
2,304837.25648462796,172780.22821728204,2463363537137637.5,-53888.05103214572,1873032746375315.0,587.8431,673.3027242621669
3,201403.9780680049,172779.75510880502,1975384821428571.8,-67199.99999999999,1742378132054183.5,587.8431,692.7911014278475
3,231242.70680265786,172779.7733818895,1602316425524762.5,-81265.79142855621,1742378132054183.5,587.8431,712.8051133520939
3,265502.15126021486,172774.7357227945,1413917602807998.8,-89678.1590134697,1742378132054183.5,587.8431,724.5038229523212
3,304837.25648462796,172722.81692508177,1629782190086538.0,-80129.38812011117,1742378132054183.5,587.8431,711.1289686761368
4,304837.25648462796,172779.75510880502,1975384821428571.8,-67199.99999999999,1841138361703997.2,587.8431,692.7911014278475
5,304837.25648462796,172779.75510880502,1975384821428571.8,-67199.99999999999,2242517631144335.5,587.8431,692.7911014278475
