particle,time,energy,r,potential,impact parameter,v0,v
0,16752.05323129234,123969.33335168,1975384821428571.8,-67199.99999999999,1990799993537655.0,497.9344,618.3353998465234
0,19233.930585016875,123969.333284492,1947381298246151.5,-68159.4611119033,1990799993537655.0,497.9344,619.8851416131787
0,22083.507056806713,123969.33304079625,1915976569988761.0,-69252.00664858232,1990799993537655.0,497.9344,621.6451394314582
0,25355.258602624624,123969.3325400232,1880965911171716.0,-70491.31284030667,1990799993537655.0,497.9344,623.6355432146726
0,29111.731988593485,123969.3316726973,1842245019346609.8,-71889.10825396201,1990799993537655.0,497.9344,625.87289432705
0,33424.74051075017,123969.33029188626,1799887311436774.0,-73452.2443444304,1990799993537655.0,497.9344,628.3654583700741
0,38376.73686501157,123969.32820372678,1754264184595178.8,-75177.58054114123,1990799993537655.0,497.9344,631.1052348774616
0,44062.38941279583,123969.32515888818,1706229656049336.5,-77043.29196653768,1990799993537655.0,497.9344,634.0545987932362
0,50590.391976107494,123969.32084974833,1657397805096774.8,-78994.60700611694,1990799993537655.0,497.9344,637.124678310086
0,58085.54176031472,123969.3149237489,1610543422571357.0,-80921.723397353,1990799993537655.0,497.9344,640.1422315721748
0,66691.12512871357,123969.30703303471,1570137520098330.5,-82629.18610007054,1990799993537655.0,497.9344,642.8040029948558
0,76571.65683823434,123969.29695228969,1542955792586431.8,-83802.73488671401,1990799993537655.0,497.9344,644.62707333621
0,87916.0251028354,123969.28479807096,1538525113825675.2,-83995.99402571429,1990799993537655.0,497.9344,644.9267847186768
0,100941.10260943102,123969.2713414824,1568925948728669.8,-82681.09361980767,1990799993537655.0,497.9344,642.8846941113003
0,115895.8925189068,123969.25829309062,1647426432597209.0,-79400.17262721766,1990799993537655.0,497.9344,637.7608186778305
0,133066.28871219646,123969.24832935259,1786073847202882.8,-73970.00941302886,1990799993537655.0,497.9344,629.1887757142231
0,152780.5412840577,123969.23090029508,1993511596424144.0,-66588.9580166539,1990799993537655.0,497.9344,617.3462382115064
0,175415.53176954575,123969.23090029514,2274878084000166.0,-58352.95567425683,1990799993537655.0,497.9344,603.857908078634
0,201403.9780680049,123969.23090029508,2634218872608381.0,-50392.87410030442,1990799993537655.0,497.9344,590.5287545930333
0,231242.70680265786,123969.23090029508,3075561856527901.5,-43161.499001636395,1990799993537655.0,497.9344,578.1534915607299
0,265502.15126021486,123969.23090029508,3603978897659509.0,-36833.14019574522,1990799993537655.0,497.9344,567.1020562403919
0,304837.25648462796,123969.23090029508,4226319803903993.0,-31409.326827888937,1990799993537655.0,497.9344,557.4559314029837
1,22083.507056806713,123969.33335168,1975384821428571.8,-67199.99999999999,2379574943672309.0,497.9344,618.3353998465234
1,25355.258602624624,123969.33329778022,1960674574568080.8,-67702.29658838772,2379574943672309.0,497.9344,619.1472036376615
1,29111.731988593485,123969.3331357318,1945785042005013.0,-68214.56774567753,2379574943672309.0,497.9344,619.9740331359199
1,33424.74051075017,123969.33282491211,1931396120070163.5,-68713.35399294969,2379574943672309.0,497.9344,620.7780389444553
1,38376.73686501157,123969.33233249966,1918534801360485.5,-69162.34208066437,2379574943672309.0,497.9344,621.5008840108983
1,44062.38941279583,123969.33163533156,1908702043702535.8,-69507.63854253027,2379574943672309.0,497.9344,622.0562196101922
