particle,time,energy,r,potential,impact parameter,v0,v
0,29111.731988593485,351161.88993288,1975384821428571.8,-67199.99999999999,1593813392205601.5,838.0476,914.7260682115493
0,33424.74051075017,351161.88958331064,1893453144506727.8,-70046.66485915468,1593813392205601.5,838.0476,917.8328327560148
0,38376.73686501157,351161.8882983195,1804620696248893.5,-73275.75362176394,1593813392205601.5,838.0476,921.3442808419483
0,44062.38941279583,351161.88562638394,1710724283097244.2,-76866.50294291569,1593813392205601.5,838.0476,925.233363610824
0,50590.391976107494,351161.8809756737,1615629313072931.8,-80709.84159866684,1593813392205601.5,838.0476,929.3779883065238
0,58085.54176031472,351161.8736486505,1526590560874266.8,-84519.276351907,1593813392205601.5,838.0476,933.4678891108762
0,66691.12512871357,351161.8630191916,1456101584688614.8,-87696.1238691563,1593813392205601.5,838.0476,936.8649709412215
0,76571.65683823434,351161.8489951604,1423464246412690.8,-89219.51680206144,1593813392205601.5,838.0476,938.4896012180656
0,87916.0251028354,351161.8327850175,1453724552728813.5,-87805.94430092069,1593813392205601.5,838.0476,936.9821525364698
0,100941.10260943102,351161.81743533816,1571394476530536.2,-82575.44434702385,1593813392205601.5,838.0476,931.3831239424107
0,115895.8925189068,351161.80723655375,1791928308238103.2,-73750.09046479165,1593813392205601.5,838.0476,921.8588804164609
0,133066.28871219646,351162.3234462814,2119436863835810.8,-62632.608814660874,1593813392205601.5,838.0476,909.7196626004544
0,152780.5412840577,351162.3234462175,2552797479984581.0,-52000.153181286354,1593813392205601.5,838.0476,897.9559862571259
0,175415.53176954575,351162.3234462175,3092153674560054.0,-42929.90386995784,1593813392205601.5,838.0476,887.7975302017633
0,201403.9780680049,351162.32344621763,3740962930963842.5,-35484.40934853065,1593813392205601.5,838.0476,879.3710625154188
0,231242.70680265786,351162.3234462176,4506530669399137.0,-29456.331208703217,1593813392205601.5,838.0476,872.4891456687823
0,265502.15126021486,351162.32344621746,5399854617081624.0,-24583.22851509345,1593813392205601.5,838.0476,866.8858655686006
0,304837.25648462796,351162.3234462175,6435413778214763.0,-20627.400906119325,1593813392205601.5,838.0476,862.3105291625944
1,33424.74051075017,351161.88993288,1975384821428571.8,-67199.99999999999,1159566870049743.5,838.0476,914.7260682115493
1,38376.73686501157,351161.8892892378,1856038731828243.8,-71387.82749622258,1159566870049743.5,838.0476,919.2928986840487
1,44062.38941279583,351161.88704338076,1722426031412213.2,-76408.40312350838,1159566870049743.5,838.0476,924.73811445932
1,50590.391976107494,351161.88213453745,1574926807945043.0,-82424.50591029099,1159566870049743.5,838.0476,931.2211209426346
1,58085.54176031472,351161.87300272303,1416257229165922.8,-89560.58998315739,1159566870049743.5,838.0476,938.8529842162515
1,66691.12512871357,351161.85730490123,1254316979578791.5,-97720.50571207835,1159566870049743.5,838.0476,947.504472830582
1,76571.65683823434,351161.8319392246,1108132921012275.6,-106047.65087953993,1159566870049743.5,838.0476,956.2525637286046
1,87916.0251028354,351161.79453351226,1017163886861119.2,-111803.97461586288,1159566870049743.5,838.0476,962.253364919422
1,100941.10260943102,351161.7802768598,1041035549696306.9,-110245.09723299718,1159566870049743.5,838.0476,960.6319560683551
1,115895.8925189068,351161.78932246077,1223050926666823.5,-99416.92445780835,1159566870049743.5,838.0476,949.2931199374292
1,133066.28871219646,351161.7816291562,1557592709657886.8,-83168.31492372634,1159566870049743.5,838.0476,932.0194166999769
1,152780.5412840577,351159.8653826245,2018306241029573.2,-65770.92083522667,1159566870049743.5,838.0476,913.1602118115431
1,175415.53176954575,351159.86538262444,2588429333248470.5,-51284.32841293928,1159566870049743.5,838.0476,897.1557209264886
1,201403.9780680049,351159.8653826244,3265534883721563.5,-40650.57172156627,1159566870049743.5,838.0476,885.2236294905267
1,231242.70680265786,351159.86538262444,4055504354923903.5,-32732.26912919708,1159566870049743.5,838.0476,876.2329992779563
1,265502.15126021486,351159.86538262444,4969373439518103.0,-26712.79621377636,1159566870049743.5,838.0476,869.3361393573844
